AnimalID,Age_Days,sex,fertile
A676209,90,Male,N
A667508,2190,Male,Y
A671105,365,Unknown,Unknown
A676056,730,Male,N
A667963,1825,Female,N
A702207,4380,Male,N
A672065,730,Female,N
A688852,2190,Male,N
A705885,90,Male,N
A670949,240,Female,N
A665666,365,Male,N
A714575,5475,Female,Y
A690480,3,Female,Y
A691636,150,Male,N
A678482,730,Male,N
A687785,730,Female,N
A716839,730,Male,Y
A718547,730,Female,N
A687989,3,Female,Y
A694408,365,Female,N
A698940,730,Male,Y
A666074,4,Male,Y
A675549,1460,Male,N
A682131,3,Male,Y
A674737,60,Male,Y
A719876,365,Female,N
A676626,60,Female,N
A666478,365,Female,N
A683507,1095,Female,N
A487470,3285,Male,N
A665661,730,Female,N
A668260,1825,Female,N
A716964,730,Male,Y
A701029,730,Male,N
A668506,2555,Male,N
A684709,365,Female,Y
A616229,2190,Female,N
A680336,60,Male,N
A701898,365,Female,N
A666971,60,Male,N
A691605,2190,Female,N
A703244,60,Male,Y
A705111,730,Female,N
A685460,2555,Male,N
A716890,90,Female,N
A715741,1095,Male,N
A676334,730,Female,Y
A668122,2555,Female,N
A702356,30,Male,Y
A664842,730,Female,N
A709067,150,Female,Y
A608918,1460,Male,N
A651596,730,Male,N
A720190,2555,Female,N
A676609,365,Male,N
A666504,30,Male,N
A693272,30,Male,N
A711607,60,Male,N
A713337,1095,Female,Y
A672758,1460,Female,N
A658690,365,Female,N
A708390,730,Female,N
A703383,3650,Female,N
A689749,60,Male,N
A699816,3650,Female,N
A701791,730,Female,N
A625690,2555,Female,N
A686406,365,Male,N
A710318,1825,Male,N
A698972,2190,Female,N
A710380,1,Unknown,Unknown
A683309,2555,Female,N
A640316,365,Male,N
A682760,365,Male,N
A701707,2,Female,Y
A669534,365,Female,Y
A588218,1825,Male,N
A669795,730,Female,N
A674448,300,Male,N
A701647,90,Female,Y
A672467,270,Male,N
A712244,30,Female,Y
A677462,0,Unknown,Unknown
A715761,1825,Female,N
A720860,240,Female,N
A701337,365,Male,Y
A710881,60,Female,N
A663948,90,Male,N
A699819,5110,Male,Y
A674638,2555,Male,N
A718743,730,Male,N
A714820,180,Female,N
A667613,330,Male,N
A696059,1095,Male,N
A690806,60,Female,Y
A676494,365,Male,N
A689138,4,Female,Y
A599155,1460,Male,N
A665587,2920,Male,N
A663555,90,Female,N
A691345,60,Female,N
A685242,120,Female,N
A674659,730,Male,Y
A683609,2190,Male,N
A695710,330,Female,N
A713063,365,Female,N
A667520,1460,Male,N
A685145,60,Male,N
A716488,730,Male,N
A667537,60,Female,N
A694601,180,Male,N
A638060,2920,Male,N
A672067,1095,Male,N
A684664,730,Male,N
A691531,60,Male,Y
A688600,3,Female,Y
A704032,60,Female,N
A703630,1460,Male,N
A668671,1825,Male,N
A696247,730,Female,N
A664380,180,Female,Y
A678185,730,Female,N
A687055,3650,Female,N
A693594,180,Male,Y
A675563,60,Female,Y
A696819,180,Male,N
A671201,2920,Male,N
A715573,180,Male,N
A685899,90,Male,Y
A669510,365,Female,N
A697892,365,Female,N
A678958,60,Male,N
A679113,2,Unknown,Unknown
A671079,730,Female,N
A687180,60,Female,N
A686632,270,Male,N
A693999,1460,Female,N
A691614,120,Male,N
A683070,3,Male,Y
A703781,2190,Male,Y
A668803,60,Female,N
A675983,240,Female,Y
A684825,30,Male,Y
A667828,120,Female,Y
A707611,60,Female,Y
A677885,730,Female,Y
A675622,120,Male,N
A720143,365,Male,Y
A701793,90,Female,N
A682824,60,Male,Y
A711494,120,Female,N
A686319,1825,Male,N
A671251,730,Female,N
A684978,2,Female,Y
A689449,60,Female,N
A715812,300,Female,N
A681003,730,Male,N
A715346,300,Female,N
A683732,4,Male,Y
A679956,365,Male,N
A695297,210,Female,N
A695950,730,Female,N
A694278,2555,Female,N
A707887,60,Male,N
A710227,4380,Male,N
A686918,1095,Female,Y
A693739,90,Female,N
A711807,730,Female,N
A677157,4380,Female,Y
A697921,365,Female,N
A686691,1095,Male,N
A678627,30,Female,N
A698117,6,Unknown,Unknown
A656110,270,Female,N
A690723,60,Female,N
A678099,730,Male,N
A717989,2555,Male,N
A673784,120,Male,N
A699927,3650,Male,N
A671889,1825,Female,N
A697627,730,Female,N
A685945,1825,Male,N
A689951,150,Male,N
A699499,365,Male,N
A715735,365,Male,Y
A688501,120,Male,N
A672263,730,Female,N
A672744,1095,Male,Y
A701165,4,Male,Y
A702973,3,Unknown,Unknown
A705338,3,Female,Y
A696609,730,Female,N
A714481,365,Male,N
A685178,2,Male,Y
A689596,730,Male,N
A714546,270,Male,Y
A671352,1095,Male,N
A705656,30,Female,Y
A695943,730,Male,N
A719517,730,Male,N
A682535,120,Male,N
A713263,1095,Male,Y
A681679,365,Male,N
A687906,30,Male,Y
A678536,365,Female,N
A718585,60,Male,N
A543073,3285,Female,N
A697959,730,Male,N
A715378,180,Female,N
A697281,90,Male,N
A681576,30,Male,N
A716400,365,Female,Y
A677460,730,Female,N
A675049,1095,Female,N
A710655,60,Male,Y
A660046,730,Female,N
A660910,730,Male,N
A686377,60,Male,N
A679631,4380,Female,N
A671682,730,Male,N
A695654,240,Female,Y
A718566,3650,Female,Y
A680351,60,Male,N
A680506,90,Male,N
A650694,365,Male,N
A681414,730,Female,Y
A714972,60,Male,N
A682833,90,Female,N
A698953,2555,Female,N
A696584,730,Female,N
A690020,120,Female,Y
A716340,60,Female,N
A707004,90,Male,N
A667031,730,Female,N
A667129,180,Female,N
A700119,4,Female,Y
A676270,90,Female,N
A684362,150,Female,N
A712984,60,Male,N
A688544,30,Female,Y
A663346,365,Female,N
A665221,30,Male,Y
A667366,1095,Female,N
A657652,1095,Male,N
A611032,2190,Male,Y
A707464,240,Male,Y
A687966,120,Male,N
A643703,1095,Male,N
A668595,4,Male,Y
A716197,60,Female,N
A713418,60,Male,Y
A711562,365,Male,Y
A716766,1825,Male,N
A616576,2555,Female,N
A705109,60,Female,N
A663819,1095,Male,N
A689629,30,Female,Y
A713084,2190,Male,N
A699468,60,Female,Y
A700335,730,Male,N
A713668,2,Unknown,Unknown
A695428,365,Female,Y
A653055,730,Female,N
A682724,60,Male,N
A713886,60,Male,N
A668396,2920,Male,N
A717176,1,Unknown,Unknown
A707573,4380,Male,N
A690543,365,Female,N
A704459,4015,Female,N
A687643,2,Female,Y
A675640,730,Male,N
A694435,730,Male,N
A668653,730,Male,N
A705804,1095,Male,N
A706506,5,Unknown,Unknown
A702756,3,Male,Y
A674264,300,Female,N
A665741,2555,Female,N
A510475,2555,Male,N
A641103,1095,Male,Y
A660275,730,Female,N
A716089,730,Male,N
A717706,365,Female,N
A716729,150,Female,N
A690333,240,Unknown,Unknown
A688552,90,Male,Y
A698495,365,Male,N
A658728,120,Female,N
A672515,365,Male,Y
A686675,365,Male,N
A707682,60,Male,N
A667942,240,Female,N
A709224,365,Female,Y
A687003,1825,Male,N
A711255,4,Female,Y
A680426,1095,Female,N
A697537,1095,Female,N
A695905,60,Female,N
A705731,90,Male,Y
A700025,3650,Female,Y
A624771,1825,Male,N
A715798,4,Male,Y
A526641,2555,Male,N
A695768,365,Female,N
A709277,90,Male,Y
A586923,1460,Male,N
A682900,1095,Female,Y
A671435,30,Male,N
A701297,2,Female,Y
A711800,2,Unknown,Unknown
A707972,6,Unknown,Unknown
A697766,365,Female,N
A665644,4,Female,Y
A664059,2920,Female,N
A676752,30,Female,Y
A720466,3650,Male,N
A716110,120,Male,N
A703750,1095,Male,N
A696236,730,Male,Y
A670716,2920,Female,N
A673103,1095,Female,N
A688281,270,Male,N
A666109,90,Male,N
A700948,3285,Unknown,Unknown
A689384,365,Male,N
A671054,120,Female,N
A679167,1460,Male,Y
A702935,730,Female,N
A680027,2,Male,Y
A691171,60,Male,N
A693032,3650,Male,N
A663585,60,Female,Y
A586222,1095,Male,N
A692591,2190,Male,N
A675402,2555,Female,N
A700765,60,Female,N
A657197,120,Male,N
A715843,1825,Male,N
A691568,2190,Male,N
A665953,2920,Male,N
A681155,730,Male,N
A714509,60,Male,N
A702846,120,Female,N
A685087,365,Unknown,Unknown
A718953,60,Male,N
A668708,1825,Male,N
A703243,60,Female,N
A706454,1095,Male,N
A668697,1095,Male,N
A717656,1095,Female,N
A681176,30,Female,Y
A663020,60,Female,N
A717029,730,Female,N
A717056,1460,Male,N
A705794,3,Male,Y
A695093,2555,Male,N
A707083,60,Female,Y
A670540,1460,Female,N
A687554,60,Male,N
A715898,730,Unknown,Unknown
A709799,30,Female,Y
A680245,1095,Male,N
A681404,90,Female,N
A666083,4,Male,Y
A711832,30,Female,Y
A719849,150,Female,N
A683147,60,Female,N
A680380,30,Male,Y
A716898,730,Female,N
A666137,4380,Female,N
A693627,730,Male,N
A717028,270,Male,Y
A561786,3285,Female,N
A694394,730,Female,N
A705347,60,Female,N
A688254,150,Female,N
A710692,120,Female,N
A699314,2,Unknown,Unknown
A718492,60,Male,N
A687303,2,Male,N
A689090,60,Male,N
A701193,60,Male,N
A701656,3,Male,Y
A712861,120,Male,N
A693761,730,Male,N
A681539,4380,Male,N
A593726,730,Female,N
A670643,730,Male,N
A682762,1095,Female,Y
A683352,60,Female,N
A673275,1095,Male,Y
A679058,1825,Female,N
A693059,240,Male,N
A684998,3650,Male,N
A682578,30,Female,Y
A695371,365,Female,N
A707260,2190,Male,N
A701537,1095,Female,N
A691647,60,Male,N
A720615,180,Female,N
A666565,365,Female,Y
A694848,2,Female,Y
A673652,730,Male,N
A703267,3,Unknown,Unknown
A689729,150,Male,Y
A667398,365,Female,Y
A687252,365,Female,N
A695690,365,Female,N
A717907,60,Male,N
A681932,60,Female,N
A664945,3650,Male,Y
A657904,730,Female,N
A670155,90,Male,N
A686404,2,Unknown,Unknown
A711802,2,Unknown,Unknown
A688226,365,Female,N
A535012,2555,Male,N
A660604,60,Male,N
A683456,730,Female,Y
A721025,4380,Male,N
A705505,4,Male,Y
A715502,60,Female,N
A683654,365,Male,N
A716802,60,Female,N
A681563,30,Female,Y
A679384,60,Female,N
A705433,30,Male,Y
A683392,365,Male,N
A683817,365,Male,N
A690588,365,Male,N
A704672,30,Male,N
A701434,30,Female,Y
A681972,60,Male,N
A702984,365,Male,Y
A663997,730,Male,N
A711472,60,Male,N
A695687,730,Male,N
A697554,120,Male,N
A694674,365,Female,N
A664593,730,Female,N
A719307,210,Male,N
A705519,365,Male,N
A689744,1095,Male,N
A676154,180,Male,Y
A713410,1095,Female,Y
A700056,365,Female,N
A689897,730,Female,N
A687423,300,Male,Y
A694865,60,Female,Y
A718299,1825,Female,N
A680305,60,Male,N
A674160,3650,Female,N
A642711,730,Male,N
A665445,120,Male,N
A687378,365,Female,N
A675416,365,Female,N
A666731,180,Female,N
A699613,1095,Female,N
A688594,60,Female,N
A710122,365,Unknown,Unknown
A665579,60,Male,N
A678709,120,Male,N
A698216,365,Female,N
A690256,365,Female,N
A711134,730,Male,N
A719354,180,Female,N
A689347,30,Male,Y
A683437,30,Male,Y
A691943,120,Male,N
A680552,60,Female,Y
A708817,240,Female,N
A694190,4380,Male,N
A478579,4380,Female,N
A713897,3,Female,Y
A705521,365,Male,N
A705654,30,Female,Y
A612816,1825,Female,N
A683518,2920,Female,Y
A680524,2920,Female,N
A717718,365,Female,N
A699353,730,Male,N
A654355,365,Male,N
A684013,60,Female,N
A712201,30,Female,Y
A701831,730,Female,Y
A707618,60,Male,N
A699602,1460,Male,N
A703191,60,Male,N
A688823,60,Male,N
A709479,1825,Female,N
A694794,150,Female,N
A690725,60,Female,N
A676524,60,Female,N
A691032,1095,Female,N
A693693,1095,Male,N
A679815,30,Female,Y
A679552,365,Male,N
A668484,730,Male,N
A689856,60,Male,N
A681407,730,Male,N
A605352,2190,Male,N
A690290,150,Male,Y
A718929,1825,Female,N
A708602,60,Male,N
A676191,90,Male,N
A697174,60,Female,N
A665786,5475,Male,N
A522809,2920,Male,N
A679337,365,Female,Y
A660950,90,Female,N
A708064,365,Male,N
A671257,730,Male,N
A664213,30,Male,Y
A670629,60,Male,Y
A704979,3,Female,Y
A703922,90,Female,N
A686684,3285,Male,N
A449107,2555,Female,N
A720432,2190,Female,N
A698633,3650,Male,N
A710884,60,Female,N
A677755,2920,Female,N
A720442,270,Female,N
A705881,1095,Male,Y
A672337,240,Male,N
A668477,3,Male,Y
A708716,270,Male,N
A664347,2,Male,Y
A717099,300,Male,N
A489376,4015,Male,N
A694544,365,Male,N
A677576,1825,Male,N
A689653,730,Male,N
A712959,1825,Female,Y
A654616,365,Male,N
A644525,1095,Female,N
A677236,365,Female,N
A669142,30,Male,Y
A713441,730,Male,N
A704432,6,Unknown,Unknown
A698794,365,Female,N
A271790,4380,Male,N
A682106,5,Female,Y
A667035,730,Female,N
A698029,365,Female,N
A701199,365,Male,N
A711920,730,Female,Y
A718991,365,Male,N
A669173,180,Male,N
A682501,60,Female,N
A714364,90,Male,N
A714741,730,Female,Y
A676304,150,Male,Y
A669888,730,Male,N
A686104,365,Male,Y
A716126,730,Female,Y
A688523,365,Female,N
A710538,60,Female,N
A687319,730,Female,N
A716622,1095,Male,N
A720428,180,Female,N
A719294,30,Female,Y
A690840,2,Male,Y
A692374,60,Male,N
A670333,1095,Male,N
A680224,30,Male,Y
A663623,120,Male,N
A665213,730,Female,Y
A680156,60,Female,N
A685580,3,Female,Y
A706565,90,Male,N
A706951,730,Male,N
A694012,4015,Male,N
A703126,90,Female,N
A664116,300,Female,N
A672395,730,Male,N
A689583,60,Female,Y
A705677,730,Male,N
A521273,2555,Female,N
A693655,60,Female,N
A679098,365,Female,N
A649782,2190,Male,N
A684378,2,Unknown,Unknown
A661384,120,Male,N
A693077,2190,Male,N
A682994,1460,Female,N
A665279,365,Female,Y
A708871,365,Male,N
A711718,365,Male,Y
A695323,60,Female,N
A684585,60,Male,N
A670417,1825,Male,N
A686558,730,Male,N
A715965,730,Male,N
A669406,730,Female,N
A673234,1095,Male,N
A640778,365,Female,N
A697529,1460,Female,N
A712616,730,Male,N
A709165,3,Male,Y
A713318,365,Male,N
A709953,730,Female,N
A669208,365,Female,N
A712316,2,Unknown,Unknown
A683269,365,Female,Y
A675323,150,Male,N
A640789,730,Male,N
A700861,60,Female,Y
A694584,730,Female,N
A666961,730,Male,Y
A713375,1460,Unknown,Unknown
A705192,4015,Male,N
A697260,120,Male,Y
A678131,730,Male,N
A685318,2,Female,Y
A668898,2190,Female,N
A679505,120,Male,N
A622844,1460,Female,N
A681814,1460,Female,N
A683148,60,Male,Y
A681774,60,Male,N
A625640,730,Male,N
A694070,1095,Female,N
A714966,30,Male,Y
A667732,730,Female,N
A668353,730,Male,N
A689857,60,Male,N
A676996,1095,Male,N
A627488,4015,Male,N
A717663,730,Male,N
A503376,2555,Male,Y
A690375,365,Male,N
A716821,2555,Male,Y
A720081,2,Male,Y
A674724,1460,Female,N
A684278,1,Male,Y
A715501,60,Male,N
A683206,365,Female,Y
A669506,730,Male,N
A690406,1460,Male,N
A669449,3650,Male,N
A671155,730,Male,N
A696045,730,Female,Y
A695583,60,Male,N
A681018,365,Female,Y
A679408,150,Female,Y
A680876,1095,Male,Y
A694393,1460,Female,N
A668566,60,Male,N
A689603,30,Male,N
A704863,90,Male,Y
A666197,730,Male,N
A665421,365,Male,N
A670405,1095,Male,Y
A701522,365,Female,N
A709394,240,Male,N
A698919,150,Male,N
A671558,730,Female,N
A716379,730,Female,N
A699795,1825,Female,N
A715241,1825,Female,N
A665137,365,Male,N
A682889,60,Male,N
A720093,1095,Unknown,Unknown
A684008,2,Female,Y
A679240,30,Male,N
A671950,1460,Male,N
A669264,300,Male,N
A720299,180,Male,N
A691815,730,Female,N
A595090,1825,Male,N
A681786,6,Unknown,Unknown
A630814,2920,Male,N
A699826,30,Female,N
A692750,365,Female,N
A713030,30,Female,Y
A697353,730,Female,N
A513770,2920,Male,N
A681473,30,Female,Y
A684560,60,Male,Y
A659205,270,Male,N
A676542,120,Male,Y
A294132,4380,Male,N
A667378,365,Male,N
A697387,2920,Female,N
A683606,60,Female,N
A681575,30,Female,N
A664831,2,Female,Y
A675309,2,Female,Y
A694404,120,Female,N
A714919,60,Male,N
A700103,365,Female,N
A715026,365,Male,N
A673061,1095,Female,N
A678766,4,Female,Y
A676528,1460,Female,N
A720236,365,Female,N
A702777,150,Unknown,Unknown
A716397,180,Male,N
A689021,300,Male,N
A594497,1095,Female,N
A691804,730,Male,N
A710894,730,Female,N
A665132,330,Female,N
A677468,4,Female,Y
A681469,60,Male,N
A691929,60,Male,N
A611034,1825,Female,N
A670979,2920,Male,N
A703058,365,Female,N
A650853,1825,Male,N
A701766,365,Female,Y
A670542,365,Male,Y
A702941,60,Male,N
A676031,1460,Female,N
A699435,730,Male,N
A715138,730,Female,N
A704529,90,Male,N
A670311,120,Male,N
A676804,60,Male,N
A688945,365,Male,N
A665246,30,Male,Y
A694537,1460,Male,N
A673252,730,Male,N
A713487,300,Female,N
A691240,3650,Female,Y
A688826,3650,Female,Y
A691863,1825,Female,N
A671426,1095,Male,N
A683764,90,Male,N
A687404,3,Female,Y
A674729,1095,Female,N
A683992,3,Male,Y
A691503,120,Female,N
A702133,1825,Male,N
A712123,60,Male,N
A697071,180,Male,N
A663019,60,Male,N
A667792,730,Female,N
A717093,1825,Female,Y
A715488,365,Male,Y
A669131,730,Male,N
A717554,1825,Male,N
A706488,1,Unknown,Unknown
A656510,2555,Male,N
A691170,60,Male,N
A668524,60,Female,N
A667606,90,Female,N
A665066,1460,Female,N
A676339,60,Male,N
A697673,365,Unknown,Unknown
A674674,1,Male,Y
A702031,730,Male,Y
A692470,365,Female,N
A714466,60,Male,N
A705975,30,Female,N
A683867,60,Male,N
A685051,90,Male,Y
A684951,60,Female,Y
A662946,365,Male,N
A670902,270,Male,N
A664052,1825,Female,N
A700710,300,Male,N
A673180,1825,Male,N
A655529,365,Male,N
A661681,730,Female,N
A688232,1825,Female,N
A711132,730,Male,N
A653745,1095,Male,N
A677663,60,Female,Y
A662260,150,Male,N
A696877,730,Male,N
A706462,1,Unknown,Unknown
A698392,210,Male,N
A714805,90,Female,N
A706293,2190,Female,N
A674384,1460,Female,N
A717683,1095,Female,N
A699961,365,Male,N
A682808,120,Male,N
A683239,1825,Female,Y
A718343,30,Male,Y
A716587,730,Female,Y
A673190,365,Female,N
A716113,120,Female,N
A668579,300,Male,N
A703745,4380,Female,N
A701935,2,Unknown,Unknown
A700318,2190,Male,N
A675162,1460,Female,N
A710969,2190,Male,N
A624128,1825,Male,N
A717681,120,Male,N
A598610,1095,Female,N
A703207,730,Female,N
A664460,5475,Male,Y
A715778,365,Female,N
A652148,730,Male,N
A664238,120,Unknown,Unknown
A680703,1,Female,Y
A709491,150,Female,N
A665427,365,Female,Y
A703769,730,Male,N
A677811,30,Male,Y
A682522,90,Female,N
A692294,30,Male,Y
A689172,2,Male,Y
A704507,300,Male,N
A665277,30,Female,N
A696688,1095,Female,N
A668537,365,Male,N
A719180,210,Male,N
A701145,2555,Male,N
A675076,1825,Male,N
A670686,1095,Female,N
A712447,1460,Female,N
A709748,30,Female,Y
A660633,365,Female,N
A704382,730,Female,N
A711799,2,Unknown,Unknown
A690875,180,Female,N
A720699,730,Male,N
A659671,365,Male,N
A689295,30,Male,Y
A676272,30,Female,N
A700942,2,Unknown,Unknown
A704786,90,Female,N
A657732,730,Female,N
A689773,60,Female,N
A716390,150,Male,Y
A706292,365,Male,Y
A704607,5475,Female,N
A661608,730,Female,N
A694229,365,Male,N
A685370,60,Male,N
A719518,150,Female,N
A660979,1460,Female,N
A670251,300,Female,N
A690816,60,Female,N
A699217,3,Male,Y
A711514,60,Female,N
A717544,150,Male,N
A663135,1825,Male,N
A702673,60,Male,N
A615299,1460,Male,N
A676330,180,Female,N
A715435,60,Female,N
A703886,60,Female,N
A702355,30,Female,Y
A695421,1095,Male,N
A668094,730,Female,N
A702219,4380,Female,N
A718558,2920,Male,N
A689461,365,Male,N
A689417,60,Male,N
A381173,5110,Female,N
A671681,730,Unknown,Unknown
A717485,180,Female,N
A682194,730,Female,N
A712523,3,Unknown,Unknown
A672179,730,Male,N
A687539,60,Female,N
A667726,90,Male,N
A680459,60,Female,N
A708822,1460,Male,Y
A693633,365,Male,N
A673847,4380,Male,N
A712880,150,Male,N
A679941,365,Male,N
A689633,120,Unknown,Unknown
A719100,300,Male,N
A686405,2,Unknown,Unknown
A669144,365,Male,N
A662398,730,Male,N
A691456,90,Male,N
A705702,365,Female,Y
A696760,1095,Male,N
A676987,365,Female,N
A693553,1460,Male,N
A670356,60,Male,N
A710801,60,Male,N
A669918,90,Female,N
A680773,2,Unknown,Unknown
A717560,90,Male,N
A705708,730,Female,Y
A715218,90,Female,N
A698184,1095,Female,N
A696479,365,Male,N
A715618,730,Male,Y
A696866,1825,Female,N
A588258,2920,Female,N
A669845,730,Male,N
A718473,1825,Male,N
A689355,150,Male,N
A703464,4,Unknown,Unknown
A710367,60,Female,N
A704361,90,Female,N
A702052,60,Unknown,Unknown
A711241,90,Male,N
A649865,365,Male,N
A706342,730,Female,N
A708139,2555,Male,N
A700748,3,Male,Y
A703226,730,Female,N
A681025,365,Female,N
A707249,2555,Male,Y
A710621,60,Female,N
A692000,270,Female,N
A716162,365,Male,N
A563302,2190,Male,N
A712549,730,Male,N
A666512,2920,Male,N
A705271,4,Male,Y
A694917,365,Male,N
A700011,3,Male,Y
A629077,2555,Female,N
A720940,365,Male,N
A677816,365,Male,N
A689274,90,Male,N
A671142,730,Female,N
A682649,120,Female,Y
A698639,365,Male,Y
A681352,60,Female,N
A665782,120,Female,N
A685672,730,Female,N
A713401,90,Male,N
A674481,1460,Female,N
A704665,3,Unknown,Unknown
A719276,5840,Female,N
A707482,120,Female,N
A690833,4,Male,Y
A681156,90,Male,N
A673571,730,Male,Y
A718609,2190,Female,Y
A702075,4015,Male,N
A687517,180,Female,N
A702178,730,Female,N
A716493,3285,Female,N
A702230,730,Male,Y
A681489,1095,Female,N
A690977,730,Male,N
A676021,3,Female,Y
A701124,730,Male,N
A619636,1095,Male,N
A703329,90,Female,N
A675146,365,Male,N
A681981,730,Female,N
A616489,1095,Female,N
A634858,1095,Female,N
A687010,1,Male,Y
A667185,730,Female,N
A677516,3,Female,Y
A700632,60,Male,N
A719538,6,Female,Y
A666043,365,Male,N
A686942,60,Male,N
A692882,2190,Male,N
A685298,365,Female,N
A718145,1460,Male,N
A694292,60,Female,Y
A683670,180,Female,N
A702443,60,Female,N
A718264,730,Female,N
A690777,730,Male,N
A680538,30,Female,Y
A673515,730,Male,N
A699843,120,Male,N
A720214,1095,Female,N
A512959,2190,Male,N
A668231,60,Male,Y
A701765,730,Female,N
A701910,365,Female,N
A666545,1095,Female,Y
A713610,365,Female,N
A668844,365,Male,N
A690349,730,Female,N
A715704,730,Male,N
A704921,120,Female,N
A717068,730,Female,N
A700295,300,Female,N
A681421,60,Male,N
A665304,60,Male,N
A704894,240,Female,N
A666505,1095,Female,N
A665129,3,Male,Y
A551055,4015,Male,N
A693393,730,Male,N
A685904,730,Male,N
A705769,120,Female,N
A708958,300,Male,N
A717483,1095,Male,N
A692546,180,Male,Y
A675393,365,Male,Y
