AnimalID,mixed,hairtype
A430437,0,otherhair
A430500,1,otherhair
A430501,1,otherhair
A430671,1,otherhair
A430953,0,otherhair
A431223,1,otherhair
A431615,1,otherhair
A432065,1,otherhair
A432197,1,shorthair
A433746,1,otherhair
A434523,1,otherhair
A435209,1,otherhair
A435237,1,otherhair
A435358,1,otherhair
A440082,1,otherhair
A441798,1,otherhair
A443497,1,otherhair
A444115,1,longhair
A445694,1,otherhair
A447254,1,otherhair
A447753,0,otherhair
A447896,1,otherhair
A448018,1,otherhair
A448020,1,otherhair
A448267,1,otherhair
A448750,0,otherhair
A448819,0,shorthair
A449107,1,otherhair
A449752,0,shorthair
A449968,1,shorthair
A450003,0,otherhair
A452948,1,otherhair
A453083,1,otherhair
A453136,1,longhair
A453933,1,otherhair
A455146,1,otherhair
A457858,1,otherhair
A459161,1,otherhair
A459318,1,otherhair
A459766,1,otherhair
A459845,1,otherhair
A459859,0,otherhair
A459869,1,shorthair
A461171,1,otherhair
A461224,0,otherhair
A462504,1,otherhair
A462580,0,otherhair
A462879,1,otherhair
A463218,0,otherhair
A464189,1,longhair
A464652,1,otherhair
A465426,1,otherhair
A465501,0,otherhair
A465573,1,otherhair
A465849,1,shorthair
A466411,0,otherhair
A466709,1,shorthair
A467387,1,otherhair
A467392,0,shorthair
A468026,1,otherhair
A470287,1,otherhair
A470702,1,otherhair
A471015,0,shorthair
A473179,1,otherhair
A474311,1,shorthair
A474539,0,otherhair
A475812,0,shorthair
A475943,0,otherhair
A475944,1,otherhair
A476054,1,otherhair
A476706,1,otherhair
A477746,1,shorthair
A478206,1,otherhair
A478560,1,otherhair
A478579,1,otherhair
A481727,1,otherhair
A482046,1,otherhair
A482334,1,otherhair
A482518,1,otherhair
A483240,1,longhair
A483647,1,otherhair
A484400,1,otherhair
A484945,1,shorthair
A485651,0,otherhair
A485674,0,otherhair
A485940,1,otherhair
A486513,1,shorthair
A486687,1,otherhair
A486898,1,otherhair
A487013,1,otherhair
A487470,1,otherhair
A488066,1,otherhair
A488203,1,otherhair
A489376,1,otherhair
A489464,1,otherhair
A489503,1,shorthair
A489686,0,shorthair
A489704,0,otherhair
A489912,1,shorthair
A490091,1,otherhair
A490776,1,otherhair
A491810,1,otherhair
A491814,0,otherhair
A492030,1,otherhair
A492808,1,otherhair
A493772,1,otherhair
A494170,1,otherhair
A494226,1,otherhair
A495308,1,otherhair
A495740,1,otherhair
A495792,1,shorthair
A496789,1,shorthair
A498100,0,otherhair
A498537,1,otherhair
A498735,1,otherhair
A498842,0,otherhair
A499024,1,otherhair
A499156,1,otherhair
A499387,1,shorthair
A499457,1,otherhair
A500361,1,otherhair
A500862,1,otherhair
A501071,1,longhair
A502125,0,otherhair
A502315,0,otherhair
A502800,0,otherhair
A502862,1,otherhair
A503371,0,otherhair
A503376,1,otherhair
A504009,1,otherhair
A504280,1,otherhair
A504801,0,shorthair
A504813,0,otherhair
A504891,0,otherhair
A505412,1,shorthair
A505682,1,otherhair
A505889,0,otherhair
A506241,1,shorthair
A506775,0,otherhair
A506972,1,otherhair
A507557,1,otherhair
A508027,0,otherhair
A509228,0,otherhair
A509390,1,otherhair
A510336,1,shorthair
A510475,1,otherhair
A510997,1,shorthair
A511822,1,shorthair
A512158,1,shorthair
A512959,1,otherhair
A513770,1,shorthair
A514005,0,otherhair
A514631,1,shorthair
A514866,1,otherhair
A515049,1,otherhair
A515112,1,otherhair
A515347,1,otherhair
A515661,1,otherhair
A515677,1,otherhair
A516259,0,otherhair
A516260,1,otherhair
A516660,1,otherhair
A517502,1,shorthair
A517675,0,otherhair
A518184,0,otherhair
A518264,1,otherhair
A518911,0,otherhair
A518937,1,otherhair
A519025,1,shorthair
A519536,1,otherhair
A519888,1,otherhair
A519949,1,otherhair
A520040,1,otherhair
A520195,1,longhair
A520355,1,otherhair
A520572,1,otherhair
A521273,1,otherhair
A521865,1,otherhair
A522050,0,otherhair
A522484,1,shorthair
A522809,1,otherhair
A522952,0,otherhair
A523114,1,otherhair
A523371,1,shorthair
A523396,1,otherhair
A523532,0,otherhair
A523533,1,otherhair
A524634,0,otherhair
A524680,1,otherhair
A525136,1,shorthair
A525592,1,shorthair
A525768,1,otherhair
A526144,0,otherhair
A526237,1,otherhair
A526238,1,shorthair
A526257,1,otherhair
A526641,0,otherhair
A526647,1,otherhair
A527170,1,otherhair
A527215,0,otherhair
A528321,0,otherhair
A528982,1,otherhair
A529211,1,longhair
A529310,0,otherhair
A529609,1,otherhair
A529630,1,shorthair
A529648,0,otherhair
A529766,0,otherhair
A529881,1,otherhair
A529890,0,otherhair
A529956,1,otherhair
A530134,1,otherhair
A530190,1,otherhair
A530460,1,otherhair
A530461,1,otherhair
A530589,1,otherhair
A530793,1,shorthair
A530800,1,otherhair
A531069,1,otherhair
A531379,1,otherhair
A531398,1,shorthair
A531598,0,otherhair
A532017,1,shorthair
A532406,0,otherhair
A532505,1,shorthair
A533106,1,otherhair
A533602,1,otherhair
A534548,1,otherhair
A534780,1,otherhair
A534959,0,otherhair
A534984,1,otherhair
A535012,1,otherhair
A535124,1,otherhair
A535277,0,otherhair
A535375,0,otherhair
A535484,1,otherhair
A535700,0,otherhair
A536035,1,otherhair
A536132,1,otherhair
A536757,1,otherhair
A537127,1,otherhair
A537247,1,otherhair
A538342,1,shorthair
A538360,1,otherhair
A538585,1,otherhair
A539175,1,shorthair
A539485,1,otherhair
A539561,0,otherhair
A540171,0,shorthair
A540369,1,otherhair
A540495,1,otherhair
A540828,0,otherhair
A541397,1,otherhair
A541517,1,otherhair
A541994,1,shorthair
A542025,1,shorthair
A542056,1,otherhair
A542480,1,otherhair
A542712,1,shorthair
A543073,0,shorthair
A543377,0,shorthair
A543793,1,otherhair
A544109,0,otherhair
A544559,1,longhair
A544831,1,otherhair
A545127,1,otherhair
A545642,0,otherhair
A545644,0,otherhair
A545780,1,shorthair
A546081,0,otherhair
A546346,1,shorthair
A547015,0,otherhair
A547088,1,otherhair
A547350,1,otherhair
A547472,0,otherhair
A547803,0,otherhair
A547838,0,otherhair
A548112,1,otherhair
A548154,1,otherhair
A548276,0,otherhair
A548552,1,otherhair
A548939,1,otherhair
A548948,1,otherhair
A549098,1,otherhair
A549167,1,otherhair
A549214,1,otherhair
A549282,0,otherhair
A549639,1,otherhair
A549834,1,shorthair
A549865,1,otherhair
A549918,1,shorthair
A549989,1,shorthair
A550246,1,otherhair
A550849,1,otherhair
A550885,1,otherhair
A550921,0,otherhair
A551055,1,otherhair
A551384,1,otherhair
A551426,0,otherhair
A551642,1,otherhair
A552088,1,otherhair
A552342,0,otherhair
A552447,1,longhair
A552796,1,otherhair
A552798,0,otherhair
A552877,1,shorthair
A554462,1,otherhair
A554737,1,otherhair
A554865,0,shorthair
A555012,1,otherhair
A555080,0,shorthair
A555113,1,otherhair
A555446,1,otherhair
A555557,0,otherhair
A555643,1,shorthair
A556804,1,shorthair
A557260,1,otherhair
A557678,1,shorthair
A558118,1,otherhair
A558166,0,otherhair
A558438,1,otherhair
A558566,1,otherhair
A558754,0,otherhair
A559090,1,otherhair
A559229,1,otherhair
A559240,0,otherhair
A559477,0,otherhair
A559547,1,otherhair
A559692,0,otherhair
A560007,0,otherhair
A560060,1,shorthair
A560622,0,otherhair
A561188,1,shorthair
A561786,1,otherhair
A562030,1,shorthair
A562161,0,otherhair
A562220,1,otherhair
A562564,1,otherhair
A562621,0,otherhair
A562836,1,otherhair
A563004,0,otherhair
A563302,0,otherhair
A563450,0,otherhair
A563492,1,shorthair
A563536,1,shorthair
A563632,1,longhair
A563725,1,otherhair
A564102,1,shorthair
A564443,0,otherhair
A564617,1,otherhair
A564660,1,otherhair
A564751,1,shorthair
A564767,1,otherhair
A564774,1,otherhair
A564837,1,otherhair
A565044,1,otherhair
A565188,0,otherhair
A565221,1,otherhair
A565312,1,otherhair
A565460,1,otherhair
A565498,1,otherhair
A566279,1,otherhair
A566618,1,otherhair
A566678,1,otherhair
A566795,1,otherhair
A566868,1,otherhair
A567057,1,otherhair
A567214,1,otherhair
A567323,1,otherhair
A567704,1,otherhair
A567808,1,longhair
A568084,1,shorthair
A568219,1,otherhair
A568438,1,shorthair
A568980,1,otherhair
A569032,1,shorthair
A569057,1,otherhair
A569147,1,otherhair
A569218,1,otherhair
A569821,1,otherhair
A569826,1,otherhair
A569886,0,otherhair
A569888,1,otherhair
A570181,1,otherhair
A570182,1,otherhair
A570239,0,otherhair
A570362,1,otherhair
A570436,1,shorthair
A570611,0,otherhair
A570741,1,otherhair
A570974,1,shorthair
A571229,1,otherhair
A571230,1,otherhair
A571326,1,otherhair
A572003,1,otherhair
A572004,1,otherhair
A572166,1,otherhair
A572590,1,otherhair
A573107,1,otherhair
A573141,1,otherhair
A573162,1,otherhair
A573350,1,shorthair
A573460,0,otherhair
A573494,1,otherhair
A573797,1,shorthair
A573863,1,otherhair
A574020,1,otherhair
A574858,1,otherhair
A574935,1,otherhair
A575017,1,otherhair
A575129,1,otherhair
A575180,1,otherhair
A575214,1,otherhair
A575322,1,shorthair
A575803,1,otherhair
A575839,1,shorthair
A575920,1,otherhair
A576186,1,shorthair
A576207,1,shorthair
A576316,0,otherhair
A576705,1,otherhair
A576866,0,otherhair
A577308,1,otherhair
A577582,0,otherhair
A577584,0,otherhair
A577780,1,otherhair
A577781,1,otherhair
A577832,1,shorthair
A577861,0,otherhair
A578097,1,otherhair
A578318,1,otherhair
A578374,1,otherhair
A578954,1,otherhair
A579260,1,otherhair
A579608,1,otherhair
A580184,1,shorthair
A580225,1,otherhair
A580469,1,otherhair
A580685,1,otherhair
A581151,1,otherhair
A581190,1,otherhair
A581356,1,shorthair
A581850,1,shorthair
A581954,1,shorthair
A582002,1,otherhair
A582082,1,otherhair
A582183,1,otherhair
A582433,1,longhair
A582875,1,shorthair
A582945,1,shorthair
A583132,1,otherhair
A583162,1,shorthair
A583262,1,otherhair
A583494,1,otherhair
A583676,1,otherhair
A583757,0,otherhair
A584195,1,otherhair
A584553,1,otherhair
A584566,1,shorthair
A584947,1,otherhair
A585131,1,shorthair
A585265,1,otherhair
A585692,1,otherhair
A585859,1,otherhair
A585865,1,otherhair
A586033,1,otherhair
A586049,1,otherhair
A586186,0,otherhair
A586222,1,shorthair
A586304,1,otherhair
A586581,1,otherhair
A586598,1,otherhair
A586665,1,otherhair
A586717,1,otherhair
A586787,1,otherhair
A586923,1,shorthair
A587006,0,otherhair
A587085,1,otherhair
A587190,1,otherhair
A587278,1,otherhair
A587332,1,otherhair
A587439,0,otherhair
A587990,1,otherhair
A588178,1,longhair
A588218,0,otherhair
A588226,1,shorthair
A588258,1,otherhair
A588444,1,shorthair
A588582,0,otherhair
A588601,1,otherhair
A588707,1,otherhair
A588789,1,otherhair
A588842,1,shorthair
A588953,0,otherhair
A589009,1,shorthair
A589224,1,shorthair
A589272,1,otherhair
A589273,1,otherhair
A589841,1,otherhair
A590089,0,otherhair
A590144,0,otherhair
A590157,1,otherhair
A590290,1,otherhair
A590330,1,otherhair
A590362,1,otherhair
A590479,1,otherhair
A590490,1,shorthair
A590637,1,otherhair
A590716,1,otherhair
A590767,0,shorthair
A590826,1,otherhair
A590957,1,shorthair
A591058,1,otherhair
A591059,0,shorthair
A591221,1,otherhair
A591500,1,otherhair
A591537,1,otherhair
A591739,1,otherhair
A591775,1,shorthair
A591852,1,shorthair
A591877,1,otherhair
A591903,1,otherhair
A591971,1,otherhair
A591983,1,otherhair
A592009,1,otherhair
A592335,1,otherhair
A592428,0,otherhair
A592545,1,otherhair
A592707,1,shorthair
A593109,1,otherhair
A593164,1,shorthair
A593205,1,otherhair
A593245,1,otherhair
A593434,1,otherhair
A593537,1,otherhair
A593567,1,shorthair
A593726,1,otherhair
A594068,1,shorthair
A594259,1,shorthair
A594265,1,otherhair
A594400,1,otherhair
A594497,1,otherhair
A594543,1,shorthair
A594707,1,otherhair
A594793,1,otherhair
A594828,1,otherhair
A594900,1,longhair
A594904,1,otherhair
A595090,1,otherhair
A595149,1,otherhair
A595363,1,shorthair
A595426,1,shorthair
A595590,1,otherhair
A595620,1,otherhair
A595993,1,otherhair
A596317,1,otherhair
A596357,1,otherhair
A596406,0,otherhair
A596672,1,longhair
A596753,1,shorthair
A596942,1,shorthair
A597023,1,otherhair
A597037,1,otherhair
A597131,1,otherhair
A597312,0,otherhair
A597414,0,otherhair
A597415,0,otherhair
A597417,0,shorthair
A597455,0,shorthair
A597644,1,otherhair
A597665,1,otherhair
A597754,1,otherhair
A597828,1,otherhair
A597837,1,otherhair
A598169,1,shorthair
A598212,1,otherhair
A598288,0,otherhair
A598308,0,otherhair
A598335,0,otherhair
A598531,0,shorthair
A598610,1,otherhair
A598850,1,otherhair
A599155,1,shorthair
A599278,1,otherhair
A599639,1,otherhair
A599671,1,otherhair
A600198,1,otherhair
A600617,1,shorthair
A600683,0,shorthair
A600766,0,otherhair
A600779,1,otherhair
A601162,1,otherhair
A601482,1,otherhair
A601488,1,otherhair
A601518,1,otherhair
A601696,1,otherhair
A601737,1,otherhair
A601748,1,otherhair
A601869,1,shorthair
A602103,1,otherhair
A602764,1,otherhair
A602944,1,otherhair
A603239,1,otherhair
A603485,1,shorthair
A603534,1,otherhair
A603621,1,shorthair
A603736,0,otherhair
A603779,1,otherhair
A603815,1,otherhair
A603830,1,otherhair
A603952,0,shorthair
A604480,0,shorthair
A604679,1,shorthair
A604708,1,otherhair
A604770,1,otherhair
A604775,1,otherhair
A604785,1,otherhair
A604955,1,otherhair
A604969,1,otherhair
A605129,1,otherhair
A605170,1,shorthair
A605191,1,otherhair
A605223,1,otherhair
A605315,0,otherhair
A605337,1,otherhair
A605352,1,otherhair
A605420,1,shorthair
A605623,1,otherhair
A605772,1,otherhair
A605804,1,otherhair
A606120,1,otherhair
A606330,1,shorthair
A606516,1,otherhair
A606532,1,otherhair
A606644,1,otherhair
A606646,1,otherhair
A606728,1,otherhair
A606735,1,otherhair
A607075,0,otherhair
A607107,1,otherhair
A607131,1,otherhair
A607134,1,shorthair
A607228,1,otherhair
A607459,1,otherhair
A607523,1,otherhair
A607543,1,otherhair
A607586,1,otherhair
A607663,1,otherhair
A607727,1,otherhair
A607728,1,otherhair
A607745,1,shorthair
A607884,1,otherhair
A608028,1,shorthair
A608029,1,shorthair
A608071,1,shorthair
A608160,1,otherhair
A608232,0,otherhair
A608349,1,otherhair
A608475,1,otherhair
A608858,1,otherhair
A608917,1,otherhair
A608918,1,otherhair
A608937,1,otherhair
A609041,1,otherhair
A609206,1,otherhair
A609229,1,shorthair
A609281,0,otherhair
A609335,1,otherhair
A609552,1,otherhair
A609618,1,otherhair
A609622,1,shorthair
A609629,1,otherhair
A609632,1,otherhair
A609635,1,otherhair
A609637,1,otherhair
A609638,1,otherhair
A609641,1,otherhair
A609643,1,otherhair
A609693,1,shorthair
A609823,1,shorthair
A609889,1,longhair
A609918,1,otherhair
A609949,1,otherhair
A609952,1,otherhair
A610067,1,shorthair
A610112,0,otherhair
A610320,1,shorthair
A610401,0,otherhair
A610475,1,otherhair
A610476,1,otherhair
A610585,1,shorthair
A610613,1,otherhair
A610680,1,shorthair
A610763,1,shorthair
A610772,1,longhair
A610815,1,shorthair
A611032,0,otherhair
A611034,1,otherhair
A611075,1,otherhair
A611152,1,otherhair
A611226,1,otherhair
A611496,1,otherhair
A611641,1,otherhair
A611682,1,otherhair
A611805,1,shorthair
A611890,1,otherhair
A611924,1,shorthair
A611929,1,otherhair
A611931,1,otherhair
A612004,1,otherhair
A612451,1,otherhair
A612711,0,otherhair
A612816,1,otherhair
A612857,1,shorthair
A612925,1,otherhair
A612961,1,otherhair
A612982,1,otherhair
A613097,1,otherhair
A613098,0,otherhair
A613161,1,otherhair
A613280,1,otherhair
A613378,1,otherhair
A613536,1,otherhair
A613553,1,otherhair
A613650,1,otherhair
A613676,0,otherhair
A613785,1,otherhair
A613821,1,otherhair
A614012,1,shorthair
A614177,1,otherhair
A614225,1,otherhair
A614362,1,shorthair
A614440,1,otherhair
A614482,1,shorthair
A614516,1,otherhair
A614657,1,otherhair
A614684,1,shorthair
A614777,1,shorthair
A614817,1,otherhair
A614972,1,otherhair
A615008,1,otherhair
A615152,1,otherhair
A615161,1,otherhair
A615165,1,otherhair
A615299,1,otherhair
A615391,1,otherhair
A615472,1,otherhair
A615521,1,otherhair
A615621,1,otherhair
A615647,1,otherhair
A615711,1,otherhair
A615725,1,otherhair
A615748,1,otherhair
A615770,1,otherhair
A615779,1,otherhair
A615794,1,otherhair
A615843,1,otherhair
A615846,1,otherhair
A616027,1,otherhair
A616126,1,shorthair
A616205,1,otherhair
A616229,1,shorthair
A616257,1,otherhair
A616295,1,otherhair
A616444,1,otherhair
A616452,1,shorthair
A616456,1,otherhair
A616487,1,otherhair
A616489,1,otherhair
A616559,1,otherhair
A616576,1,otherhair
A616584,1,otherhair
A616585,1,otherhair
A616640,1,otherhair
A616703,1,otherhair
A616906,1,otherhair
A617090,1,shorthair
A617461,0,otherhair
A617558,1,otherhair
A617648,1,otherhair
A617845,1,otherhair
A617900,1,otherhair
A618106,0,otherhair
A618218,0,otherhair
A618412,1,shorthair
A618422,1,shorthair
A618639,1,otherhair
A618663,1,otherhair
A618687,1,otherhair
A618691,1,shorthair
A618752,1,otherhair
A618757,1,otherhair
A618771,1,otherhair
A618957,1,otherhair
A619073,1,shorthair
A619084,1,otherhair
A619150,1,otherhair
A619157,1,otherhair
A619269,1,otherhair
A619326,1,otherhair
A619493,0,otherhair
A619569,1,shorthair
A619636,1,otherhair
A619638,1,otherhair
A619664,1,shorthair
A619791,1,shorthair
A619829,1,otherhair
A619861,1,otherhair
A619903,1,shorthair
A619960,1,shorthair
A619991,1,otherhair
A620031,1,otherhair
A620112,1,otherhair
A620222,1,otherhair
A620311,1,otherhair
A620318,1,otherhair
A620350,1,otherhair
A620378,1,otherhair
A620379,1,otherhair
A620418,0,shorthair
A620531,1,otherhair
A620557,1,shorthair
A620598,1,shorthair
A620599,0,otherhair
A620613,1,otherhair
A620697,1,otherhair
A620883,1,otherhair
A620894,1,otherhair
A620900,1,otherhair
A621164,1,otherhair
A621295,1,otherhair
A621306,0,otherhair
A621341,1,shorthair
A621530,1,otherhair
A621537,1,otherhair
A621641,1,longhair
A621652,1,shorthair
A621716,1,otherhair
A621962,1,shorthair
A622028,1,otherhair
A622036,1,shorthair
A622127,1,otherhair
A622128,1,otherhair
A622169,1,otherhair
A622283,1,otherhair
A622351,1,shorthair
A622803,1,otherhair
A622844,1,otherhair
A622978,1,otherhair
A623219,1,otherhair
A623403,1,shorthair
A623449,1,otherhair
A623498,1,longhair
A623551,1,shorthair
A623561,1,otherhair
A623762,1,shorthair
A623883,1,otherhair
A624026,1,otherhair
A624126,1,otherhair
A624128,1,shorthair
A624160,1,otherhair
A624189,1,otherhair
A624198,1,otherhair
A624436,1,shorthair
A624771,1,otherhair
A624844,1,otherhair
A624945,1,otherhair
A624949,1,otherhair
A625197,1,otherhair
A625274,1,shorthair
A625379,1,shorthair
A625381,1,shorthair
A625400,1,otherhair
A625626,1,otherhair
A625640,1,otherhair
A625690,1,otherhair
A625782,1,otherhair
A625787,0,otherhair
A625823,0,otherhair
A625940,1,shorthair
A626061,1,otherhair
A626087,1,otherhair
A626136,1,otherhair
A626164,1,shorthair
A626351,1,otherhair
A626405,1,otherhair
A626654,1,shorthair
A626771,1,otherhair
A626774,1,otherhair
A626809,1,otherhair
A626847,1,otherhair
A626851,1,shorthair
A626951,1,shorthair
A626966,1,otherhair
A627019,1,otherhair
A627376,0,otherhair
A627488,1,shorthair
A627558,1,otherhair
A627576,1,otherhair
A627632,0,otherhair
A627909,1,otherhair
A627950,1,otherhair
A628086,1,otherhair
A628159,1,otherhair
A628319,1,otherhair
A628369,1,otherhair
A628417,1,otherhair
A628456,1,otherhair
A628470,1,otherhair
A628569,1,shorthair
A628590,1,otherhair
A628627,1,otherhair
A628792,1,shorthair
A629077,1,otherhair
A629207,1,otherhair
A629363,1,otherhair
A629484,1,otherhair
A629596,1,otherhair
A629636,1,otherhair
A629706,1,otherhair
A629737,1,shorthair
A629747,1,otherhair
A629810,0,otherhair
A629969,1,shorthair
A630031,1,otherhair
A630148,1,longhair
A630172,1,otherhair
A630262,1,shorthair
A630325,1,otherhair
A630443,1,shorthair
A630530,1,otherhair
A630671,1,otherhair
A630752,1,shorthair
A630814,1,otherhair
A630888,1,shorthair
A630889,1,otherhair
A630938,1,otherhair
A631184,1,otherhair
A631190,1,otherhair
A631277,1,otherhair
A631348,1,otherhair
A631379,1,shorthair
A631433,1,otherhair
A631529,1,shorthair
A631581,1,otherhair
A631695,1,otherhair
A631764,1,otherhair
A631781,0,shorthair
A631804,1,otherhair
A631824,0,otherhair
A631963,1,otherhair
A631986,1,otherhair
A632004,1,otherhair
A632012,0,otherhair
A632022,1,otherhair
A632070,1,otherhair
A632107,1,otherhair
A632333,1,otherhair
A632423,0,otherhair
A632706,1,otherhair
A632731,1,shorthair
A632814,0,otherhair
A632822,1,otherhair
A632870,1,otherhair
A632891,1,otherhair
A632902,0,otherhair
A632969,1,otherhair
A633267,1,shorthair
A633389,1,otherhair
A633402,1,otherhair
A633441,1,otherhair
A633632,1,longhair
A633633,1,otherhair
A633870,1,otherhair
A633943,1,otherhair
A633952,1,otherhair
A633999,1,shorthair
A634068,1,shorthair
A634147,1,otherhair
A634175,1,otherhair
A634176,1,otherhair
A634207,1,otherhair
A634209,1,otherhair
A634272,1,shorthair
A634273,0,otherhair
A634279,1,shorthair
A634369,1,otherhair
A634503,1,otherhair
A634508,1,otherhair
A634550,1,otherhair
A634608,1,shorthair
A634836,0,otherhair
A634843,1,otherhair
A634845,1,otherhair
A634858,1,otherhair
A634925,1,otherhair
A634956,1,otherhair
A634982,1,shorthair
A635060,1,otherhair
A635177,1,otherhair
A635201,1,shorthair
A635339,1,otherhair
A635698,1,otherhair
A635761,1,otherhair
A635766,1,otherhair
A635866,1,otherhair
A635991,1,otherhair
A635993,1,shorthair
A635999,1,otherhair
A636021,1,otherhair
A636102,1,otherhair
A636144,1,shorthair
A636269,1,otherhair
A636398,1,otherhair
A636427,1,otherhair
A636565,1,otherhair
A636576,1,otherhair
A636638,1,otherhair
A636667,1,otherhair
A636714,1,otherhair
A636828,1,otherhair
A636914,1,otherhair
A637110,1,shorthair
A637115,1,otherhair
A637206,1,otherhair
A637291,1,shorthair
A637358,1,shorthair
A637456,1,otherhair
A637480,1,otherhair
A637506,1,otherhair
A637559,0,otherhair
A637777,1,otherhair
A637896,1,longhair
A638060,1,shorthair
A638155,1,shorthair
A638172,1,otherhair
A638206,0,otherhair
A638232,1,shorthair
A638296,1,otherhair
A638414,1,otherhair
A638475,1,shorthair
A638520,1,otherhair
A638551,1,longhair
A638565,1,otherhair
A638621,1,otherhair
A638625,1,otherhair
A638766,1,shorthair
A638819,1,shorthair
A638828,1,otherhair
A639030,1,otherhair
A639095,1,otherhair
A639102,1,otherhair
A639145,1,otherhair
A639421,1,otherhair
A639465,1,otherhair
A639613,1,otherhair
A639677,1,otherhair
A639939,1,otherhair
A640093,0,otherhair
A640106,1,otherhair
A640132,1,otherhair
A640235,1,otherhair
A640310,1,otherhair
A640316,1,longhair
A640416,1,otherhair
A640424,1,otherhair
A640500,1,shorthair
A640511,1,otherhair
A640516,0,otherhair
A640537,1,shorthair
A640562,1,otherhair
A640583,1,shorthair
A640613,1,shorthair
A640624,0,otherhair
A640636,1,otherhair
A640655,1,otherhair
A640710,0,otherhair
A640739,1,otherhair
A640768,1,otherhair
A640771,1,otherhair
A640778,1,otherhair
A640789,1,otherhair
A640790,1,otherhair
A640804,1,shorthair
A640810,1,shorthair
A640819,1,shorthair
A640955,1,shorthair
A641048,1,shorthair
A641085,1,otherhair
A641103,0,otherhair
A641215,1,otherhair
A641238,1,otherhair
A641317,1,otherhair
A641346,0,otherhair
A641381,1,shorthair
A641459,1,otherhair
A641471,1,otherhair
A641486,1,otherhair
A641494,1,otherhair
A641520,1,otherhair
A641582,1,otherhair
A641781,1,otherhair
A641795,1,otherhair
A641846,1,otherhair
A641887,1,otherhair
A641941,1,otherhair
A641952,0,otherhair
A642023,1,otherhair
A642027,1,otherhair
A642081,0,otherhair
A642185,1,otherhair
A642201,1,shorthair
A642317,1,shorthair
A642325,1,otherhair
A642377,0,otherhair
A642379,1,otherhair
A642415,1,shorthair
A642475,1,shorthair
A642547,1,otherhair
A642590,1,otherhair
A642665,1,shorthair
A642671,1,otherhair
A642711,1,otherhair
A642732,1,shorthair
A642859,0,otherhair
A642867,1,otherhair
A642905,1,otherhair
A642922,1,otherhair
A642946,1,shorthair
A642962,1,otherhair
A643052,1,longhair
A643090,1,otherhair
A643153,1,otherhair
A643183,1,shorthair
A643201,1,otherhair
A643280,1,otherhair
A643282,1,otherhair
A643323,1,otherhair
