"AnimalID","Life_Stage"
"A689021","baby"
"A594497","teenage"
"A691804","teenage"
"A710894","teenage"
"A665132","baby"
"A677468","infant"
"A681469","baby"
"A691929","baby"
"A611034","adult"
"A670979","senior"
"A703058","baby"
"A650853","adult"
"A701766","baby"
"A670542","baby"
"A702941","baby"
"A676031","adult"
"A699435","teenage"
"A715138","teenage"
"A704529","baby"
"A670311","baby"
"A676804","baby"
"A688945","baby"
"A665246","infant"
"A694537","adult"
"A673252","teenage"
"A713487","baby"
"A691240","senior"
"A688826","senior"
"A691863","adult"
"A671426","teenage"
"A683764","baby"
"A687404","infant"
"A674729","teenage"
"A683992","infant"
"A691503","baby"
"A702133","adult"
"A712123","baby"
"A697071","baby"
"A663019","baby"
"A667792","teenage"
"A717093","adult"
"A715488","baby"
"A669131","teenage"
"A717554","adult"
"A706488","infant"
"A656510","adult"
"A691170","baby"
"A668524","baby"
"A667606","baby"
"A665066","adult"
"A676339","baby"
"A697673","baby"
"A674674","infant"
"A702031","teenage"
"A692470","baby"
"A714466","baby"
"A705975","infant"
"A683867","baby"
"A685051","baby"
"A684951","baby"
"A662946","baby"
"A670902","baby"
"A664052","adult"
"A700710","baby"
"A673180","adult"
"A655529","baby"
"A661681","teenage"
"A688232","adult"
"A711132","teenage"
"A653745","teenage"
"A677663","baby"
"A662260","baby"
"A696877","teenage"
"A706462","infant"
"A698392","baby"
"A714805","baby"
"A706293","adult"
"A674384","adult"
"A717683","teenage"
"A699961","baby"
"A682808","baby"
"A683239","adult"
"A718343","infant"
"A716587","teenage"
"A673190","baby"
"A716113","baby"
"A668579","baby"
"A703745","senior"
"A701935","infant"
"A700318","adult"
"A675162","adult"
"A710969","adult"
"A624128","adult"
"A717681","baby"
"A598610","teenage"
"A703207","teenage"
"A664460","geriatric"
"A715778","baby"
"A652148","teenage"
"A664238","baby"
"A680703","infant"
"A709491","baby"
"A665427","baby"
"A703769","teenage"
"A677811","infant"
"A682522","baby"
"A692294","infant"
"A689172","infant"
"A704507","baby"
"A665277","infant"
"A696688","teenage"
"A668537","baby"
"A719180","baby"
"A701145","adult"
"A675076","adult"
"A670686","teenage"
"A712447","adult"
"A709748","infant"
"A660633","baby"
"A704382","teenage"
"A711799","infant"
"A690875","baby"
"A720699","teenage"
"A659671","baby"
"A689295","infant"
"A676272","infant"
"A700942","infant"
"A704786","baby"
"A657732","teenage"
"A689773","baby"
"A716390","baby"
"A706292","baby"
"A704607","geriatric"
"A661608","teenage"
"A694229","baby"
"A685370","baby"
"A719518","baby"
"A660979","adult"
"A670251","baby"
"A690816","baby"
"A699217","infant"
"A711514","baby"
"A717544","baby"
"A663135","adult"
"A702673","baby"
"A615299","adult"
"A676330","baby"
"A715435","baby"
"A703886","baby"
"A702355","infant"
"A695421","teenage"
"A668094","teenage"
"A702219","senior"
"A718558","senior"
"A689461","baby"
"A689417","baby"
"A381173","senior"
"A671681","teenage"
"A717485","baby"
"A682194","teenage"
"A712523","infant"
"A672179","teenage"
"A687539","baby"
"A667726","baby"
"A680459","baby"
"A708822","adult"
"A693633","baby"
"A673847","senior"
"A712880","baby"
"A679941","baby"
"A689633","baby"
"A719100","baby"
"A686405","infant"
"A669144","baby"
"A662398","teenage"
"A691456","baby"
"A705702","baby"
"A696760","teenage"
"A676987","baby"
"A693553","adult"
"A670356","baby"
"A710801","baby"
"A669918","baby"
"A680773","infant"
"A717560","baby"
"A705708","teenage"
"A715218","baby"
"A698184","teenage"
"A696479","baby"
"A715618","teenage"
"A696866","adult"
"A588258","senior"
"A669845","teenage"
"A718473","adult"
"A689355","baby"
"A703464","infant"
"A710367","baby"
"A704361","baby"
"A702052","baby"
"A711241","baby"
"A649865","baby"
"A706342","teenage"
"A708139","adult"
"A700748","infant"
"A703226","teenage"
"A681025","baby"
"A707249","adult"
"A710621","baby"
"A692000","baby"
"A716162","baby"
"A563302","adult"
"A712549","teenage"
"A666512","senior"
"A705271","infant"
"A694917","baby"
"A700011","infant"
"A629077","adult"
"A720940","baby"
"A677816","baby"
"A689274","baby"
"A671142","teenage"
"A682649","baby"
"A698639","baby"
"A681352","baby"
"A665782","baby"
"A685672","teenage"
"A713401","baby"
"A674481","adult"
"A704665","infant"
"A719276","geriatric"
"A707482","baby"
"A690833","infant"
"A681156","baby"
"A673571","teenage"
"A718609","adult"
"A702075","senior"
"A687517","baby"
"A702178","teenage"
"A716493","senior"
"A702230","teenage"
"A681489","teenage"
"A690977","teenage"
"A676021","infant"
"A701124","teenage"
"A619636","teenage"
"A703329","baby"
"A675146","baby"
"A681981","teenage"
"A616489","teenage"
"A634858","teenage"
"A687010","infant"
"A667185","teenage"
"A677516","infant"
"A700632","baby"
"A719538","infant"
"A666043","baby"
"A686942","baby"
"A692882","adult"
"A685298","baby"
"A718145","adult"
"A694292","baby"
"A683670","baby"
"A702443","baby"
"A718264","teenage"
"A690777","teenage"
"A680538","infant"
"A673515","teenage"
"A699843","baby"
"A720214","teenage"
"A512959","adult"
"A668231","baby"
"A701765","teenage"
"A701910","baby"
"A666545","teenage"
"A713610","baby"
"A668844","baby"
"A690349","teenage"
"A715704","teenage"
"A704921","baby"
"A717068","teenage"
"A700295","baby"
"A681421","baby"
"A665304","baby"
"A704894","baby"
"A666505","teenage"
"A665129","infant"
"A551055","senior"
"A693393","teenage"
"A685904","teenage"
"A705769","baby"
"A708958","baby"
"A717483","teenage"
"A692546","baby"
"A675393","baby"
"A704046","infant"
"A670087","adult"
"A695935","teenage"
"A665698","baby"
"A714227","teenage"
"A698936","baby"
"A695204","baby"
"A698896","teenage"
"A638621","adult"
"A686592","teenage"
"A710536","infant"
"A701706","infant"
"A665072","baby"
"A686182","senior"
"A678579","teenage"
"A683663","baby"
"A708758","infant"
"A681153","baby"
"A689687","teenage"
"A702845","baby"
"A709954","teenage"
"A700751","baby"
"A664768","baby"
"A687740","adult"
"A677556","adult"
"A714737","adult"
"A708078","senior"
"A693889","baby"
"A689829","baby"
"A714025","teenage"
"A660345","baby"
"A669140","infant"
"A676176","teenage"
"A715359","baby"
"A691919","baby"
"A674671","infant"
"A700582","teenage"
"A687185","adult"
"A709637","adult"
"A700567","adult"
"A710321","baby"
"A711404","baby"
"A693715","infant"
"A612711","adult"
"A705698","infant"
"A664112","baby"
"A707728","infant"
"A699391","teenage"
"A699534","baby"
"A690776","baby"
"A702533","teenage"
"A716218","adult"
"A624436","teenage"
"A596942","senior"
"A701045","teenage"
"A601482","adult"
"A699191","teenage"
"A667545","baby"
"A680834","baby"
"A215368","senior"
"A711600","infant"
"A670718","adult"
"A709471","baby"
"A698265","teenage"
"A683700","adult"
"A698566","teenage"
"A669977","baby"
"A552877","senior"
"A675639","teenage"
"A701607","baby"
"A710237","adult"
"A686679","baby"
"A692453","teenage"
"A682485","teenage"
"A674746","teenage"
"A706138","baby"
"A693935","adult"
"A688064","baby"
"A697171","teenage"
"A678474","adult"
"A684704","infant"
"A697320","baby"
"A714081","adult"
"A685603","baby"
"A703270","infant"
"A651306","teenage"
"A696044","baby"
"A694347","baby"
"A510336","adult"
"A689894","teenage"
"A708283","baby"
"A525592","adult"
"A667153","infant"
"A694398","baby"
"A678841","infant"
"A670833","baby"
"A720141","teenage"
"A670391","teenage"
"A667794","baby"
"A680971","baby"
"A665403","baby"
"A701610","baby"
"A672280","baby"
"A700035","baby"
"A705048","teenage"
"A718798","baby"
"A677733","adult"
"A700148","baby"
"A685822","adult"
"A448020","senior"
"A693628","teenage"
"A678199","baby"
"A702705","baby"
"A669053","baby"
"A616027","teenage"
"A679649","baby"
"A679555","baby"
"A708920","baby"
"A675525","teenage"
"A698564","infant"
"A679765","teenage"
"A719494","baby"
"A685432","adult"
"A682197","baby"
"A706477","senior"
"A715230","infant"
"A710193","senior"
"A714641","baby"
"A706260","baby"
"A708568","infant"
"A697990","adult"
"A682610","infant"
"A707446","infant"
"A672400","baby"
"A680991","infant"
"A716088","baby"
"A669934","teenage"
"A709997","teenage"
"A693125","adult"
"A677668","infant"
"A342480","senior"
"A683655","baby"
"A678614","baby"
"A673726","infant"
"A697603","baby"
"A628792","teenage"
"A684687","baby"
"A702902","baby"
"A713560","teenage"
"A681561","infant"
"A688162","baby"
"A719796","adult"
"A696833","adult"
"A704501","senior"
"A673216","teenage"
"A415589","senior"
"A709200","infant"
"A668319","baby"
"A688850","teenage"
"A662147","baby"
"A680766","baby"
"A685245","baby"
"A697908","baby"
"A283735","senior"
"A687863","teenage"
"A688536","baby"
"A685185","baby"
"A699933","baby"
"A651299","teenage"
"A676143","baby"
"A711910","senior"
"A691281","baby"
"A696637","baby"
"A700913","infant"
"A703721","infant"
"A648687","baby"
"A672573","teenage"
"A713362","baby"
"A667955","teenage"
"A697206","baby"
"A716743","teenage"
"A688569","baby"
"A712883","teenage"
"A681939","baby"
"A696055","baby"
"A705526","senior"
"A680244","infant"
"A680444","adult"
"A716076","teenage"
"A716636","teenage"
"A707974","teenage"
"A681006","adult"
"A584947","senior"
"A624189","teenage"
"A674311","baby"
"A683466","baby"
"A708080","teenage"
"A640416","adult"
"A677877","teenage"
"A687624","baby"
"A696292","baby"
"A693332","teenage"
"A709058","adult"
"A692897","senior"
"A693872","senior"
"A701185","senior"
"A652270","baby"
"A701641","adult"
"A705802","baby"
"A693030","baby"
"A680720","infant"
"A711598","baby"
"A695483","teenage"
"A669699","teenage"
"A484945","adult"
"A676606","baby"
"A676224","adult"
"A675932","baby"
"A701369","baby"
"A715280","baby"
"A683959","infant"
"A670260","senior"
"A697604","baby"
"A647886","senior"
"A705036","baby"
"A717842","baby"
"A695823","infant"
"A681139","teenage"
"A646980","teenage"
"A671314","baby"
"A683676","teenage"
"A715627","adult"
"A661986","baby"
"A688059","infant"
"A717615","adult"
"A709989","baby"
"A683293","baby"
"A664439","baby"
"A672762","baby"
"A688036","teenage"
"A679928","baby"
"A697715","teenage"
"A659731","teenage"
"A687344","teenage"
"A693005","baby"
"A690535","baby"
"A699574","teenage"
"A708073","infant"
"A690413","adult"
"A677474","teenage"
"A669837","teenage"
"A535484","adult"
"A696319","senior"
"A667407","baby"
"A716491","adult"
"A547088","adult"
"A716372","baby"
"A676813","teenage"
"A682879","infant"
"A703780","baby"
"A712980","infant"
"A669899","baby"
"A703887","infant"
"A686705","teenage"
"A675940","infant"
"A681508","baby"
"A687069","baby"
"A697812","adult"
"A696438","teenage"
"A655516","teenage"
"A716316","baby"
"A678847","infant"
"A664749","baby"
"A701041","baby"
"A689132","baby"
"A714280","baby"
"A699036","teenage"
"A704944","adult"
"A718762","baby"
"A701484","infant"
"A688447","baby"
"A690025","baby"
"A716774","teenage"
"A661823","baby"
"A709817","baby"
"A693807","baby"
"A689246","teenage"
"A704206","infant"
"A714104","baby"
"A679538","baby"
"A690734","adult"
"A702233","baby"
"A682338","baby"
"A674317","senior"
"A708469","baby"
"A707305","infant"
"A683893","baby"
"A716399","baby"
"A715717","baby"
"A717520","teenage"
"A699512","baby"
"A700337","adult"
"A713324","teenage"
"A688264","baby"
"A678921","senior"
"A677949","teenage"
"A664093","adult"
"A719197","baby"
"A690075","baby"
"A664571","teenage"
"A681170","baby"
"A698909","adult"
"A705770","adult"
"A673756","baby"
"A670209","baby"
"A662762","infant"
"A665310","baby"
"A687266","baby"
"A690797","senior"
"A713588","senior"
"A677179","teenage"
