"","ID","colormix","mixwithwhite","tabby","firstcolor"
"295","A689138",0,0,0,"Blue"
"296","A599155",1,1,0,"White"
"297","A665587",0,0,1,"Orange"
"298","A663555",0,0,0,"Calico"
"299","A691345",1,1,0,"Brown"
"300","A685242",0,0,0,"Tortie"
"301","A674659",1,0,0,"Tan"
"302","A683609",0,0,0,"Brown"
"303","A695710",1,1,0,"Brown"
"304","A713063",1,1,0,"Tan"
"305","A667520",1,1,0,"Apricot"
"306","A685145",1,1,0,"Blue"
"307","A716488",0,0,0,"Red"
"308","A667537",1,0,0,"Red"
"309","A694601",0,0,0,"Black"
"310","A638060",1,1,0,"Black"
"311","A672067",0,0,1,"Brown"
"312","A684664",1,1,0,"Brown"
"313","A691531",1,1,0,"White"
"314","A688600",0,0,0,"Tortie"
"315","A704032",0,0,1,"Brown"
"316","A703630",0,0,0,"Brown"
"317","A668671",1,1,1,"Brown"
"318","A696247",1,1,0,"Chocolate"
"319","A664380",0,0,0,"Calico"
"320","A678185",1,0,0,"Black"
"321","A687055",0,0,0,"Sable"
"322","A693594",1,1,0,"Black"
"323","A675563",0,0,0,"Calico"
"324","A696819",0,0,0,"Sable"
"325","A671201",0,0,0,"Tricolor"
"326","A715573",0,0,0,"Buff"
"327","A685899",0,0,0,"Seal"
"328","A669510",1,0,0,"Black"
"329","A697892",1,0,0,"Brown"
"330","A678958",0,0,0,"Tricolor"
"331","A679113",0,0,1,"Blue"
"332","A671079",0,0,0,"Tan"
"333","A687180",1,1,1,"Orange"
"334","A686632",1,1,1,"White"
"335","A693999",1,1,0,"Black"
"336","A691614",1,1,0,"Red"
"337","A683070",0,0,0,"White"
"338","A703781",1,1,0,"Blue"
"339","A668803",1,1,0,"Black"
"340","A675983",0,0,1,"Blue"
"341","A684825",1,1,0,"Black"
"342","A667828",0,0,0,"Black"
"343","A707611",0,0,0,"Torbie"
"344","A677885",0,0,0,"Fawn"
"345","A675622",0,0,0,"Tricolor"
"346","A720143",0,0,1,"Brown"
"347","A701793",1,1,0,"Lynx"
"348","A682824",1,1,0,"Black"
"349","A711494",1,1,1,"Orange"
"350","A686319",0,0,0,"Brown"
"351","A671251",1,1,0,"Fawn"
"352","A684978",0,0,1,"Brown"
"353","A689449",0,0,0,"Black"
"354","A715812",1,1,0,"Tan"
"355","A681003",1,1,0,"Black"
"356","A715346",0,0,0,"White"
"357","A683732",0,0,0,"Blue"
"358","A679956",1,0,0,"Fawn"
"359","A695297",1,1,1,"Brown"
"360","A695950",1,1,0,"Brown"
"361","A694278",1,1,0,"Black"
"362","A707887",0,0,1,"Brown"
"363","A710227",1,1,0,"Black"
"364","A686918",0,0,0,"Tricolor"
"365","A693739",1,1,0,"Black"
"366","A711807",1,1,0,"Red"
"367","A677157",0,0,0,"Yellow"
"368","A697921",0,0,0,"Black"
"369","A686691",0,0,0,"Yellow"
"370","A678627",0,0,0,"Calico"
"371","A698117",0,0,0,"White"
"372","A656110",0,0,0,"Tricolor"
"373","A690723",1,1,0,"Black"
"374","A678099",1,1,0,"Tan"
"375","A717989",0,0,0,"White"
"376","A673784",0,0,0,"Blue"
"377","A699927",0,0,1,"Orange"
"378","A671889",0,0,0,"Tan"
"379","A697627",1,1,0,"Chocolate"
"380","A685945",1,1,0,"Tan"
"381","A689951",0,0,0,"Flame"
"382","A699499",1,1,0,"Black"
"383","A715735",1,0,0,"Buff"
"384","A688501",0,0,0,"Black"
"385","A672263",1,1,0,"White"
"386","A672744",1,0,0,"Black"
"387","A701165",0,0,0,"Blue"
"388","A702973",1,1,0,"Black"
"389","A705338",0,0,0,"Tortie"
"390","A696609",0,0,0,"Black"
"391","A714481",1,1,0,"Brown"
"392","A685178",0,0,1,"Blue"
"393","A689596",1,1,0,"White"
"394","A714546",1,1,0,"Red"
"395","A671352",0,0,0,"Brown"
"396","A705656",0,0,0,"Tortie"
"397","A695943",0,0,0,"Tricolor"
"398","A719517",0,0,1,"Brown"
"399","A682535",1,0,0,"Brown"
"400","A713263",0,0,0,"Brown"
"401","A681679",1,1,0,"Brown"
"402","A687906",1,1,1,"Brown"
"403","A678536",1,1,0,"White"
"404","A718585",1,0,0,"Black"
"405","A543073",0,0,0,"Brown"
"406","A697959",0,0,0,"Brown"
"407","A715378",1,1,0,"White"
"408","A697281",0,0,0,"Tricolor"
"409","A681576",1,1,0,"Chocolate"
"410","A716400",1,0,0,"Black"
"411","A677460",1,1,0,"Blue"
"412","A675049",1,1,0,"Black"
"413","A710655",0,0,0,"Lilac"
"414","A660046",1,1,0,"Blue"
"415","A660910",1,1,0,"Brown"
"416","A686377",1,0,0,"Brown"
"417","A679631",0,0,0,"Tortie"
"418","A671682",0,0,0,"Blue"
"419","A695654",0,0,0,"Black"
"420","A718566",1,1,1,"Brown"
"421","A680351",0,0,1,"Orange"
"422","A680506",1,1,0,"Buff"
"423","A650694",1,1,0,"Blue"
"424","A681414",0,0,0,"Tortie"
"425","A714972",0,0,1,"Blue"
"426","A682833",0,0,0,"Lilac"
"427","A698953",0,0,0,"White"
"428","A696584",0,0,0,"Brown"
"429","A690020",1,1,0,"Brown"
"430","A716340",0,0,1,"Brown"
"431","A707004",1,1,1,"White"
"432","A667031",1,1,1,"White"
"433","A667129",1,1,0,"Black"
"434","A700119",0,0,0,"Torbie"
"435","A676270",0,0,1,"Brown"
"436","A684362",0,0,0,"Tortie"
"437","A712984",1,1,1,"Orange"
"438","A688544",1,1,1,"Brown"
"439","A663346",1,1,0,"Black"
"440","A665221",1,0,0,"Brown"
"441","A667366",1,0,0,"Black"
"442","A657652",0,0,0,"Black"
"443","A611032",0,0,0,"Tricolor"
"444","A707464",1,1,0,"White"
"445","A687966",1,1,1,"Brown"
"446","A643703",0,0,0,"Yellow"
"447","A668595",0,0,0,"Tricolor"
"448","A716197",0,0,0,"Torbie"
"449","A713418",1,1,0,"Buff"
"450","A711562",0,0,0,"Black"
"451","A716766",0,0,0,"Black"
"452","A616576",0,0,0,"Tricolor"
"453","A705109",0,0,0,"Blue"
"454","A663819",1,1,0,"Black"
"455","A689629",0,0,0,"Torbie"
"456","A713084",0,0,0,"Buff"
"457","A699468",1,1,0,"Chocolate"
"458","A700335",1,1,0,"White"
"459","A713668",1,1,1,"Orange"
"460","A695428",1,1,0,"Black"
"461","A653055",1,0,0,"Black"
"462","A682724",0,0,0,"Black"
"463","A713886",0,0,1,"Orange"
"464","A668396",0,0,0,"Lynx"
"465","A717176",0,0,0,"White"
"466","A707573",0,0,0,"White"
"467","A690543",1,1,0,"Chocolate"
"468","A704459",0,0,0,"Cream"
"469","A687643",1,1,1,"Blue"
"470","A675640",1,1,0,"Black"
"471","A694435",1,0,0,"Black"
"472","A668653",0,0,0,"Black"
"473","A705804",0,0,0,"Brown"
"474","A706506",0,0,0,"Black"
"475","A702756",1,1,1,"White"
"476","A674264",0,0,0,"Tricolor"
"477","A665741",0,0,1,"Brown"
"478","A510475",1,1,0,"Red"
"479","A641103",1,1,0,"Black"
"480","A660275",0,0,0,"Black"
"481","A716089",0,0,1,"Blue"
"482","A717706",0,0,0,"Red"
"483","A716729",0,0,0,"Calico"
"484","A690333",0,0,0,"Black"
"485","A688552",0,0,1,"Brown"
"486","A698495",0,0,0,"Tan"
"487","A658728",1,1,0,"Tortie"
"488","A672515",0,0,1,"Cream"
"489","A686675",1,1,0,"Tan"
"490","A707682",0,0,0,"Black"
"491","A667942",0,0,0,"Black"
"492","A709224",0,0,0,"Calico"
"493","A687003",0,0,0,"Cream"
"494","A711255",0,0,0,"White"
"495","A680426",0,0,0,"Yellow"
"496","A697537",1,1,0,"Black"
"497","A695905",0,0,0,"Tricolor"
"498","A705731",1,1,0,"White"
"499","A700025",1,0,0,"Black"
"500","A624771",0,0,0,"Tan"
"501","A715798",0,0,1,"Brown"
"502","A526641",1,1,0,"Brown"
"503","A695768",0,0,0,"Apricot"
"504","A709277",0,0,1,"Orange"
"505","A586923",1,1,0,"Black"
"506","A682900",1,1,0,"White"
"507","A671435",1,0,0,"Brown"
"508","A701297",0,0,1,"Brown"
"509","A711800",0,0,1,"Brown"
"510","A707972",0,0,1,"Brown"
"511","A697766",1,0,0,"Tan"
"512","A665644",0,0,0,"Calico"
"513","A664059",0,0,0,"Blue"
"514","A676752",1,1,0,"Tortie"
"515","A720466",1,0,0,"Black"
"516","A716110",0,0,0,"Cream"
"517","A703750",0,0,0,"Tricolor"
"518","A696236",0,0,0,"Black"
"519","A670716",0,0,0,"Sable"
"520","A673103",1,1,0,"White"
"521","A688281",1,0,0,"Red"
"522","A666109",1,1,1,"Orange"
"523","A700948",1,0,0,"Tan"
"524","A689384",0,0,0,"Brown"
"525","A671054",0,0,1,"Orange"
"526","A679167",0,0,1,"Orange"
"527","A702935",1,1,0,"White"
"528","A680027",1,1,0,"Brown"
"529","A691171",0,0,1,"Cream"
"530","A693032",1,1,1,"Orange"
"531","A663585",0,0,0,"Black"
"532","A586222",1,1,0,"White"
"533","A692591",1,1,1,"White"
"534","A675402",1,0,0,"Brown"
"535","A700765",0,0,0,"Calico"
"536","A657197",0,0,1,"Brown"
"537","A715843",0,0,0,"Brown"
"538","A691568",1,1,0,"Black"
"539","A665953",1,1,0,"Black"
"540","A681155",1,1,0,"Tan"
"541","A714509",0,0,0,"Lynx"
"542","A702846",0,0,0,"Red"
"543","A685087",1,1,0,"Black"
"544","A718953",0,0,0,"Black"
"545","A668708",1,1,1,"Brown"
"546","A703243",1,1,0,"Black"
"547","A706454",1,1,0,"White"
"548","A668697",0,0,0,"Tricolor"
"549","A717656",0,0,0,"Tan"
"550","A681176",0,0,1,"Brown"
"551","A663020",0,0,0,"Black"
"552","A717029",0,0,0,"White"
"553","A717056",1,1,0,"Blue"
"554","A705794",0,0,0,"Seal"
"555","A695093",1,0,0,"Brown"
"556","A707083",0,0,0,"Tortie"
"557","A670540",1,1,0,"White"
"558","A687554",1,1,1,"Brown"
"559","A715898",0,0,0,"Tortie"
"560","A709799",0,0,0,"Black"
"561","A680245",0,0,0,"Black"
"562","A681404",0,0,1,"Brown"
"563","A666083",0,0,1,"Orange"
"564","A711832",0,0,0,"Red"
"565","A719849",1,1,0,"Black"
"566","A683147",0,0,0,"Tortie"
"567","A680380",0,0,1,"Brown"
"568","A716898",1,1,0,"White"
"569","A666137",0,0,0,"Tricolor"
"570","A693627",1,0,0,"Brown"
"571","A717028",1,1,0,"Fawn"
"572","A561786",1,1,0,"White"
"573","A694394",0,0,0,"Buff"
"574","A705347",1,1,1,"Brown"
"575","A688254",1,0,0,"Black"
"576","A710692",1,0,0,"Tan"
"577","A699314",1,1,1,"Brown"
"578","A718492",1,1,0,"Black"
"579","A687303",0,0,1,"Gray"
"580","A689090",1,0,0,"Brown"
"581","A701193",0,0,0,"Black"
"582","A701656",1,1,1,"Brown"
"583","A712861",1,1,0,"Black"
"584","A693761",1,1,0,"Brown"
"585","A681539",0,0,0,"Black"
"586","A593726",1,1,0,"Tan"
"587","A670643",1,1,0,"Brown"
"588","A682762",1,1,0,"Blue"
"589","A683352",1,1,0,"Sable"
"590","A673275",1,1,0,"Blue"
"591","A679058",1,0,0,"Black"
"592","A693059",1,1,0,"Blue"
"593","A684998",1,1,0,"Black"
"594","A682578",1,1,0,"Black"
"595","A695371",0,0,0,"Yellow"
"596","A707260",0,0,0,"Sable"
"597","A701537",0,0,1,"Brown"
"598","A691647",1,1,1,"Brown"
"599","A720615",1,0,0,"Black"
"600","A666565",1,1,0,"Blue"
"601","A694848",1,1,0,"Black"
"602","A673652",1,1,0,"Black"
"603","A703267",1,1,0,"Tortie"
"604","A689729",0,0,0,"Black"
"605","A667398",0,0,0,"Tortie"
"606","A687252",0,0,0,"Gray"
"607","A695690",1,1,0,"Blue"
"608","A717907",0,0,0,"Tan"
"609","A681932",0,0,0,"Tortie"
"610","A664945",1,1,0,"White"
"611","A657904",1,1,0,"White"
"612","A670155",1,1,0,"Tan"
"613","A686404",0,0,0,"White"
"614","A711802",0,0,1,"Brown"
"615","A688226",1,1,0,"Tan"
"616","A535012",0,0,0,"Black"
"617","A660604",0,0,1,"Cream"
"618","A683456",0,0,0,"White"
"619","A721025",0,0,0,"Gold"
"620","A705505",0,0,0,"White"
"621","A715502",1,1,1,"Black"
"622","A683654",1,1,0,"Brown"
"623","A716802",0,0,0,"Calico"
"624","A681563",0,0,0,"Calico"
"625","A679384",1,1,0,"Chocolate"
"626","A705433",0,0,0,"Tricolor"
"627","A683392",1,1,0,"Brown"
"628","A683817",1,1,1,"Orange"
"629","A690588",1,1,0,"Blue"
"630","A704672",1,0,0,"Black"
"631","A701434",0,0,0,"Brown"
"632","A681972",0,0,0,"Lynx"
"633","A702984",0,0,0,"Black"
"634","A663997",0,0,1,"Orange"
"635","A711472",0,0,1,"Orange"
"636","A695687",0,0,0,"White"
"637","A697554",1,1,0,"Brown"
"638","A694674",1,1,0,"Black"
"639","A664593",1,1,0,"Brown"
"640","A719307",1,1,0,"Blue"
"641","A705519",1,0,0,"Brown"
"642","A689744",1,0,0,"Black"
"643","A676154",1,1,0,"Brown"
"644","A713410",1,0,0,"Black"
"645","A700056",0,0,0,"Brown"
"646","A689897",1,0,0,"Black"
"647","A687423",0,0,0,"Blue"
"648","A694865",1,0,0,"Black"
"649","A718299",1,1,0,"Brown"
"650","A680305",0,0,0,"Sable"
"651","A674160",0,0,0,"Calico"
"652","A642711",1,1,0,"White"
"653","A665445",1,0,0,"Brown"
"654","A687378",0,0,0,"White"
"655","A675416",0,0,0,"White"
"656","A666731",0,0,0,"Black"
"657","A699613",1,1,0,"White"
"658","A688594",0,0,0,"Black"
"659","A710122",1,1,0,"Black"
"660","A665579",0,0,0,"Black"
"661","A678709",1,1,1,"Cream"
"662","A698216",0,0,0,"Lynx"
"663","A690256",1,1,0,"White"
"664","A711134",0,0,0,"Brown"
"665","A719354",0,0,1,"Blue"
"666","A689347",0,0,1,"Orange"
"667","A683437",0,0,1,"Brown"
"668","A691943",1,1,0,"Black"
"669","A680552",1,1,0,"Black"
"670","A708817",1,1,0,"Black"
"671","A694190",1,1,1,"Orange"
"672","A478579",1,0,0,"Brown"
"673","A713897",1,1,0,"White"
"674","A705521",0,0,0,"Black"
"675","A705654",0,0,1,"Orange"
"676","A612816",0,0,0,"White"
"677","A683518",0,0,0,"Brown"
"678","A680524",0,0,0,"Tan"
"679","A717718",1,1,0,"White"
"680","A699353",1,1,0,"Red"
"681","A654355",1,0,0,"Tan"
"682","A684013",1,1,0,"Torbie"
"683","A712201",0,0,0,"Black"
"684","A701831",1,1,0,"Blue"
"685","A707618",0,0,1,"Blue"
"686","A699602",0,0,0,"Black"
"687","A703191",0,0,1,"Orange"
"688","A688823",1,1,0,"Black"
"689","A709479",0,0,0,"Tricolor"
"690","A694794",1,1,1,"Brown"
"691","A690725",1,1,0,"White"
"692","A676524",1,1,1,"Brown"
"693","A691032",1,1,0,"Tan"
"694","A693693",1,1,0,"Fawn"
"695","A679815",0,0,0,"Black"
"696","A679552",0,0,0,"Yellow"
"697","A668484",1,0,0,"Black"
"698","A689856",0,0,0,"Blue"
"699","A681407",1,0,0,"Black"
"700","A605352",1,0,0,"Tan"
"701","A690290",1,0,0,"Black"
"702","A718929",1,0,1,"Blue"
"703","A708602",1,1,1,"White"
"704","A676191",1,0,0,"Brown"
"705","A697174",1,1,0,"White"
"706","A665786",0,0,0,"Blue"
"707","A522809",1,1,0,"White"
"708","A679337",0,0,0,"Calico"
"709","A660950",1,1,1,"Brown"
"710","A708064",0,0,1,"Brown"
"711","A671257",1,0,0,"Black"
"712","A664213",0,0,0,"Blue"
"713","A670629",0,0,0,"Fawn"
"714","A704979",0,0,0,"Calico"
"715","A703922",1,1,1,"Brown"
"716","A686684",1,1,0,"White"
"717","A449107",1,0,0,"Buff"
"718","A720432",0,0,0,"Black"
"719","A698633",0,0,0,"Black"
"720","A710884",0,0,0,"Torbie"
"721","A677755",0,0,1,"Brown"
"722","A720442",1,1,0,"White"
"723","A705881",1,1,1,"Blue"
"724","A672337",0,0,0,"Black"
"725","A668477",1,1,1,"Orange"
"726","A708716",1,0,0,"Black"
"727","A664347",0,0,1,"Blue"
"728","A717099",0,0,0,"Red"
"729","A489376",1,1,0,"Brown"
"730","A694544",1,0,0,"Tricolor"
"731","A677576",1,1,0,"White"
"732","A689653",0,0,0,"Brown"
"733","A712959",0,0,0,"Red"
"734","A654616",1,1,1,"Orange"
"735","A644525",1,1,0,"Black"
"736","A677236",1,1,0,"Red"
"737","A669142",0,0,1,"Orange"
"738","A713441",1,1,0,"White"
"739","A704432",0,0,0,"White"
"740","A698794",1,1,0,"Black"
"741","A271790",0,0,0,"Tricolor"
"742","A682106",0,0,0,"Tricolor"
"743","A667035",1,1,0,"White"
"744","A698029",1,0,0,"Black"
"745","A701199",0,0,0,"Tan"
"746","A711920",1,1,0,"Yellow"
