AnimalID,Name,popular_name,human_name
A691968,,N,N
A688871,Pandora,N,N
A674530,Jackson,N,Y
A718604,Watson,N,N
A686520,,N,N
A699094,Levon,N,N
A394547,Snickerdoodl,N,N
A662685,Lola,N,Y
A713977,Jumbly,N,N
A707781,Pearl,N,Y
A694699,Pebbles,N,N
A696350,Minnie,N,Y
A679102,Merlin,N,N
A698341,Parsley,N,N
A681481,,N,N
A714177,,N,N
A689601,Abby,N,Y
A685062,,N,N
A672453,,N,N
A719480,Ricky,N,Y
A702880,Tom,N,Y
A714494,Amarillo,N,N
A711853,Nala,N,N
A688720,,N,N
A689690,Winnie,N,Y
A679915,Luna,N,Y
A687991,,N,N
A707896,Tokyo,N,N
A702014,Diamond,N,Y
A673626,,N,N
A652097,Minnie,N,Y
A685180,Neville,N,N
A707442,Conrad,N,N
A682599,Shiva,N,N
A685452,,N,N
A688067,,N,N
A714069,Jupiter,N,N
A705924,Nero,N,N
A717167,Oscar,N,Y
A711639,,N,N
A716760,Dasher,N,N
A709048,Libby,N,N
A719048,Gracie,N,Y
A707437,,N,N
A706387,Sugar,N,N
A720668,,N,N
A679341,Jethro,N,N
A690519,,N,N
A708769,Keyla,N,N
A681462,Samson,N,N
A666444,August,N,Y
A701153,,N,N
A710071,Herb,N,N
A714602,Stripey,N,N
A700707,Sallie,N,Y
A702563,Klo Dog,N,N
A679441,,N,N
A715729,Milo,N,N
A716575,Scarlet,N,N
A714462,Pebbles,N,N
A717429,Cairo,N,N
A687336,,N,N
A713364,Calypso,N,N
A701999,Luna,N,Y
A664304,,N,N
A698066,Diva,N,N
A680585,Olivia,Y,Y
A699715,Ashley,Y,Y
A702246,,N,N
A711918,Jaqueline,N,N
A676430,Tabitha,N,Y
A677577,Roxie,N,Y
A683666,,N,N
A713754,Harper,N,Y
A703631,Hanley,N,N
A676209,Boomer,N,N
A667508,Brownie,N,N
A671105,,N,N
A676056,Swisha,N,N
A667963,,N,N
A702207,,N,N
A672065,Dutchess,N,N
A688852,Buddy,N,N
A705885,Meowser,N,N
A670949,Cassie,N,Y
A665666,Teddy,N,N
A714575,Isis,N,N
A690480,,N,N
A691636,Dali,N,N
A678482,,N,N
A687785,Bella,N,Y
A716839,Dino,N,N
A718547,,N,N
A687989,,N,N
A694408,Emma,Y,Y
A698940,,N,N
A666074,Jackson,N,Y
A675549,Marco,N,Y
A682131,,N,N
A674737,Byron,N,N
A719876,Oreo,N,N
A676626,Pia,N,N
A666478,Bleu,N,N
A683507,,N,N
A487470,Midnight,N,N
A665661,Julia,Y,Y
A668260,,N,N
A716964,Rello,N,N
A701029,Bode,N,N
A668506,Jake,N,Y
A684709,,N,N
A616229,Rebecca,Y,Y
A680336,Buddy,N,N
A701898,Anita,N,Y
A666971,,N,N
A691605,Daisy,N,Y
A703244,,N,N
A705111,Kiki,N,N
A685460,Jerrid,N,N
A716890,Vidalia,N,N
A715741,Simba,N,N
A676334,,N,N
A668122,,N,N
A702356,,N,N
A664842,June,N,Y
A709067,Earlene,N,N
A608918,Vader,N,N
A651596,Brownie,N,N
A720190,Little Missy,N,N
A676609,Buddy,N,N
A666504,,N,N
A693272,Kodiak,N,N
A711607,Bosco,N,N
A713337,,N,N
A672758,Daisy,N,Y
A658690,Priscilla,N,Y
A708390,Stella,N,Y
A703383,Dharma,N,N
A689749,Taco,N,N
A699816,Pebbles,N,N
A701791,Arwen,N,N
A625690,Rainey,N,N
A686406,,N,N
A710318,Tank,N,N
A698972,Kiki,N,N
A710380,,N,N
A683309,,N,N
A640316,Kato,N,N
A682760,Jasper,N,Y
A701707,,N,N
A669534,,N,N
A588218,Roger,Y,Y
A669795,Roxi,N,N
A674448,Hedwig,N,N
A701647,,N,N
A672467,Apollo,N,N
A712244,,N,N
A677462,,N,N
A715761,,N,N
A720860,,N,N
A701337,,N,N
A710881,Ruth,Y,Y
A663948,Pumpkin,N,N
A699819,Coco,N,N
A674638,Sam,N,Y
A718743,Newton,N,N
A714820,Lizzie,N,Y
A667613,Orion,N,N
A696059,Chewy,N,N
A690806,Hailey,N,Y
A676494,Jimmy,N,Y
A689138,,N,N
A599155,Machete,N,N
A665587,Cheddar,N,N
A663555,Amelia,N,Y
A691345,Jelly Bean,N,N
A685242,,N,N
A674659,,N,N
A683609,Rascal,N,N
A695710,Layla,N,Y
A713063,,N,N
A667520,,N,N
A685145,Mundy,N,N
A716488,,N,N
A667537,,N,N
A694601,Barnaby,N,N
A638060,Noah,Y,Y
A672067,Jesse,Y,Y
A684664,Leo,N,Y
A691531,,N,N
A688600,,N,N
A704032,Madison,Y,Y
A703630,Sheldon,N,N
A668671,Chris,N,Y
A696247,Jillian,N,Y
A664380,,N,N
A678185,,N,N
A687055,Lizzie,N,Y
A693594,,N,N
A675563,Socks,N,N
A696819,Captain,N,N
A671201,Pablito,N,N
A715573,,N,N
A685899,,N,N
A669510,Kimchi,N,N
A697892,Bella,N,Y
A678958,Ares,N,N
A679113,,N,N
A671079,,N,N
A687180,,N,N
A686632,Sammy,N,Y
A693999,,N,N
A691614,Challino,N,N
A683070,,N,N
A703781,Romeo,N,N
A668803,Dumpling,N,N
A675983,,N,N
A684825,Carl,Y,Y
A667828,,N,N
A707611,Belle,N,Y
A677885,Lil' Mama,N,N
A675622,,N,N
A720143,,N,N
A701793,,N,N
A682824,,N,N
A711494,Celeste,N,N
A686319,Jack,Y,Y
A671251,Buffy,N,N
A684978,,N,N
A689449,Bizzy,N,N
A715812,,N,N
A681003,,N,N
A715346,Molina,N,N
A683732,,N,N
A679956,Simon,N,Y
A695297,Sparkles,N,N
A695950,Laurel,N,N
A694278,Mya,N,Y
A707887,Firefly,N,N
A710227,Sebastian,N,Y
A686918,Aimee,N,Y
A693739,Lily,N,Y
A711807,Lola,N,Y
A677157,Sadie,N,Y
A697921,Pi,N,N
A686691,,N,N
A678627,Qwayzar,N,N
A698117,,N,N
A656110,Clover,N,N
A690723,Friskie,N,N
A678099,Spartacus,N,N
A717989,Leroy,N,Y
A673784,Severus,N,N
A699927,Lennon,N,N
A671889,Jezebel,N,N
A697627,Lucy,N,Y
A685945,Cody,N,Y
A689951,Nelson,N,Y
A699499,,N,N
A715735,Nico,N,N
A688501,Watson,N,N
A672263,Daisy,N,Y
A672744,Oso,N,N
A701165,,N,N
A702973,,N,N
A705338,,N,N
A696609,Lizzy,N,N
A714481,Bobby,Y,Y
A685178,,N,N
A689596,,N,N
A714546,Blaze,N,N
A671352,Roman,N,Y
A705656,Rasberry,N,N
A695943,Tucker,N,Y
A719517,,N,N
A682535,,N,N
A713263,Houston,N,N
A681679,Captain,N,N
A687906,Kerby,N,N
A678536,Tulip,N,N
A718585,,N,N
A543073,Tiny Tinker,N,N
A697959,Nigel,N,N
A715378,Sadie,N,Y
A697281,,N,N
A681576,Pippin,N,N
A716400,Calliope,N,N
A677460,Petra,N,N
A675049,Judy,Y,Y
A710655,Cloud,N,N
A660046,Grace,Y,Y
A660910,Kief,N,N
A686377,,N,N
A679631,Callie,N,Y
A671682,,N,N
A695654,Asha,N,N
A718566,Eleonora,N,N
A680351,Oliver,N,Y
A680506,Shaka,N,N
A650694,Riku,N,N
A681414,,N,N
A714972,Dennis,Y,Y
A682833,Nala,N,N
A698953,,N,N
A696584,Pequina,N,N
A690020,Jax,N,N
A716340,Tibbers,N,N
A707004,Ranger,N,N
A667031,Nala,N,N
A667129,Marcia,N,Y
A700119,,N,N
A676270,,N,N
A684362,Bella,N,Y
A712984,Sammy,N,Y
A688544,Emma,Y,Y
A663346,July,N,N
A665221,,N,N
A667366,,N,N
A657652,Mason,N,Y
A611032,Trousers,N,N
A707464,Cassius,N,N
A687966,,N,N
A643703,Popcorn,N,N
A668595,,N,N
A716197,Ellie,N,Y
A713418,,N,N
A711562,Bino,N,N
A716766,Marley,N,N
A616576,Lucy,N,Y
A705109,,N,N
A663819,Zeus,N,N
A689629,,N,N
A713084,Haelo,N,N
A699468,Mary,Y,Y
A700335,Dorchester,N,N
A713668,,N,N
A695428,,N,N
A653055,Leia,N,N
A682724,Morris,N,Y
A713886,Arthur,Y,Y
A668396,,N,N
A717176,,N,N
A707573,Squirt,N,N
A690543,Scarlet,N,N
A704459,Maui,N,N
A687643,,N,N
A675640,Tyrone,N,Y
A694435,Sam,N,Y
A668653,Chubs,N,N
A705804,Chico,N,N
A706506,,N,N
A702756,,N,N
A674264,,N,N
A665741,Leia,N,N
A510475,Duke,N,N
A641103,Apollo,N,N
A660275,Lucy,N,Y
A716089,,N,N
A717706,Hilde,N,N
A716729,Hazel,N,Y
A690333,,N,N
A688552,Tucker,N,Y
A698495,Nugget,N,N
A658728,Tori,N,N
A672515,,N,N
A686675,Brisket,N,N
A707682,Sleepy,N,N
A667942,Shadow,N,N
A709224,,N,N
A687003,Chico,N,N
A711255,,N,N
A680426,Lyla,N,Y
A697537,Annie,N,Y
A695905,Mew,N,N
A705731,Sven,N,N
A700025,Molly,N,Y
A624771,Cujo,N,N
A715798,,N,N
A526641,Kane,N,N
A695768,Sparkles,N,N
A709277,Cameron,N,Y
A586923,Riley,N,Y
A682900,Ellie,N,Y
A671435,Dusty,N,N
A701297,,N,N
A711800,,N,N
A707972,,N,N
A697766,Riley,N,Y
A665644,,N,N
A664059,Sylvia,N,Y
A676752,Sunny,N,N
A720466,Axel,N,Y
A716110,Curly,N,N
A703750,Z,N,N
A696236,Ollie,N,Y
A670716,Kitty,N,N
A673103,Chloe,N,Y
A688281,Jake,N,Y
A666109,Tom,N,Y
A700948,,N,N
A689384,Lucas,N,Y
A671054,Alice,Y,Y
A679167,,N,N
A702935,Layla,N,Y
A680027,,N,N
A691171,Peanut,N,N
A693032,Hiddles,N,N
A663585,Star,N,N
A586222,Wesley,N,Y
A692591,Boo,N,N
A675402,Cookie,N,N
A700765,Mia,N,Y
A657197,Gecko,N,N
A715843,Gabe,N,N
A691568,Tex,N,N
A665953,,N,N
A681155,Jeff,N,Y
A714509,,N,N
A702846,,N,N
A685087,,N,N
A718953,,N,N
A668708,Bob,N,Y
A703243,,N,N
A706454,Whitey,N,N
A668697,Pancho Wolf,N,N
A717656,,N,N
A681176,Gwen,N,N
A663020,June,N,Y
A717029,Smudge,N,N
A717056,Diego,N,Y
A705794,Logan,Y,Y
A695093,Windsor,N,N
A707083,Libby,N,N
A670540,Snowflake,N,N
A687554,Tony,N,Y
A715898,,N,N
A709799,,N,N
A680245,Collaway,N,N
A681404,Khloe,N,Y
A666083,,N,N
A711832,,N,N
A719849,Eula,N,Y
A683147,Lorelai,N,N
A680380,,N,N
A716898,Jane,Y,Y
A666137,Rue,N,N
A693627,Howler,N,N
A717028,Luke,N,Y
A561786,Betsy,N,N
A694394,Annie,N,Y
A705347,Hope,N,Y
A688254,Coco,N,N
A710692,Lucille,N,Y
A699314,,N,N
A718492,Dexter,N,N
A687303,,N,N
A689090,Riddle,N,N
A701193,Sid,N,N
A701656,,N,N
A712861,Ajax,N,N
A693761,Chico,N,N
A681539,Orson,N,N
A593726,Fiona,N,N
A670643,Hank,N,N
A682762,Gabby,N,N
A683352,,N,N
A673275,Prince,N,N
A679058,Penelope,N,Y
A693059,Rigby,N,N
A684998,Tiki,N,N
A682578,,N,N
A695371,Sylvie,N,N
A707260,Bowie,N,N
A701537,Bella,N,Y
A691647,Petey,N,N
A720615,Nikita,N,N
A666565,Ash,N,N
A694848,,N,N
A673652,Fancy,N,N
A703267,,N,N
A689729,,N,N
A667398,,N,N
A687252,Betty,Y,Y
A695690,Scooter,N,N
A717907,,N,N
A681932,Georgia,N,Y
A664945,,N,N
A657904,Estrella,N,N
A670155,Johnny,Y,Y
A686404,,N,N
A711802,,N,N
A688226,,N,N
A535012,Negro,N,N
A660604,Clark,N,N
A683456,Annabella,N,N
A721025,Willie,Y,Y
A705505,,N,N
A715502,Austen,N,N
A683654,,N,N
A716802,Emily,Y,Y
A681563,,N,N
A679384,,N,N
A705433,,N,N
A683392,Saxon,N,N
A683817,Marvin,N,Y
A690588,Yogi,N,N
A704672,Bentley,N,Y
A701434,,N,N
A681972,,N,N
A702984,,N,N
A663997,Arthur,Y,Y
A711472,Zion,N,N
A695687,Frodo,N,N
A697554,Jacob,Y,Y
A694674,Ryder,N,Y
A664593,Chiquilla,N,N
A719307,Grape,N,N
A705519,Sheos,N,N
A689744,,N,N
A676154,Harvey,N,Y
A713410,Daisy,N,Y
A700056,Alyssa,N,Y
A689897,Annabelle,N,Y
A687423,Rory,N,N
A694865,Cher,N,N
A718299,Gemma,N,N
A680305,'Stache,N,N
A674160,Mya,N,Y
A642711,Third,N,N
A665445,Max,N,Y
A687378,Mitzi,N,N
A675416,Chuchu,N,N
A666731,Patience,N,N
A699613,Scout,N,N
A688594,,N,N
A710122,,N,N
A665579,Candy,N,N
A678709,Corban,N,N
A698216,Pippa,N,N
A690256,Mimi,N,N
A711134,Brownie,N,N
A719354,Grissy,N,N
A689347,Glen,N,Y
A683437,,N,N
A691943,Archer,N,N
A680552,River,N,N
A708817,Sugarberry,N,N
A694190,Lily Pad,N,N
A478579,Natasha,N,Y
A713897,,N,N
A705521,Bolo,N,N
A705654,Clementine,N,N
A612816,Roxy,N,N
A683518,,N,N
A680524,Sadie,N,Y
A717718,Bonnie,N,Y
A699353,Otis,N,Y
A654355,Kilo,N,N
A684013,Emma,Y,Y
A712201,,N,N
A701831,Bessy,N,N
A707618,Ziggy,N,N
A699602,Toad,N,N
A703191,Carnegie,N,N
A688823,Kevin,Y,Y
A709479,Daisy,N,Y
A694794,Tiger,N,N
A690725,Princess,N,N
A676524,Chica Loca,N,N
A691032,Disa,N,N
A693693,Lucky,N,N
A679815,Lulu,N,Y
A679552,Frank,Y,Y
A668484,Mickey,N,N
A689856,,N,N
A681407,Champ,N,N
A605352,Odin,N,N
A690290,Zip,N,N
A718929,Minnie,N,Y
A708602,Klaus,N,N
A676191,Elliot,N,N
A697174,Lora,N,N
A665786,Woodrow,N,Y
A522809,Fred,N,Y
A679337,,N,N
A660950,Lil Sister,N,N
A708064,Leo,N,Y
A671257,Pepper,N,N
A664213,Meyer,N,N
A670629,Spartus,N,N
A704979,,N,N
A703922,Miori,N,N
A686684,Gandolf,N,N
A449107,Sadie,N,Y
A720432,Tequila,N,N
A698633,Samson,N,N
A710884,Robin,N,Y
A677755,Macy,N,N
A720442,Roxy,N,N
A705881,,N,N
A672337,Jasper,N,Y
A668477,,N,N
A708716,Buster,N,N
A664347,,N,N
A717099,Comet,N,N
A489376,Buster,N,N
A694544,Squirrel,N,N
A677576,Bingo,N,N
A689653,Wild Bill,N,N
A712959,Arby,N,N
A654616,Coco,N,N
A644525,Katie,N,Y
A677236,Coco,N,N
A669142,Nelly,N,N
A713441,,N,N
A704432,,N,N
A698794,Ivana,N,N
A271790,Grant,N,Y
A682106,,N,N
A667035,Callie,N,Y
A698029,,N,N
A701199,Scooby,N,N
A711920,Rhianna,N,N
A718991,Snickers,N,N
A669173,,N,N
A682501,Samus,N,N
A714364,Pichus,N,N
A714741,Heaven,N,N
A676304,Andy,N,N
A669888,Sunny Bunny,N,N
A686104,,N,N
A716126,,N,N
A688523,Basil,N,N
A710538,Olive,N,Y
A687319,Wiz,N,N
A716622,Loki,N,N
A720428,Tori,N,N
A719294,,N,N
A690840,,N,N
A692374,Jasper,N,Y
A670333,Hardware,N,N
A680224,Howie,N,N
A663623,Monkey,N,N
A665213,Mariah,N,Y
A680156,Daisy,N,Y
A685580,,N,N
A706565,Ducky,N,N
A706951,Chomps,N,N
A694012,Zorro,N,N
A703126,Mia,N,Y
A664116,Maggie,N,Y
A672395,Hank,N,N
A689583,,N,N
A705677,Luigi,N,N
A521273,Isis,N,N
A693655,,N,N
A679098,Lola,N,Y
A649782,Blue,N,N
A684378,,N,N
A661384,Ranger,N,N
A693077,Brownie,N,N
A682994,Cookie,N,N
A665279,Pinky,N,N
A708871,Onyx,N,N
A711718,,N,N
A695323,Tracy,N,Y
A684585,,N,N
A670417,Spot,N,N
A686558,Brix,N,N
A715965,Pancho,N,N
A669406,Peanut,N,N
A673234,Baxter,N,N
A640778,Milly,N,N
A697529,Karma,N,N
A712616,Flash,N,N
A709165,,N,N
A713318,Scrappy,N,N
A709953,Roxy,N,N
A669208,,N,N
A712316,,N,N
A683269,,N,N
A675323,Fluff,N,N
A640789,Cupulin,N,N
A700861,,N,N
A694584,Miss Crush,N,N
A666961,,N,N
A713375,,N,N
A705192,Jaco,N,N
A697260,,N,N
A678131,Peewee,N,N
A685318,,N,N
A668898,Viola,N,Y
A679505,,N,N
A622844,Squeaky,N,N
A681814,June Bug,N,N
A683148,,N,N
A681774,,N,N
A625640,Troy,N,Y
A694070,Hunca Munca,N,N
A714966,Wombat,N,N
A667732,Coco,N,N
A668353,Snkaefarm,N,N
A689857,,N,N
A676996,Camino,N,N
A627488,Buster,N,N
A717663,Ghost,N,N
A503376,Lobo,N,N
A690375,Bruce Willis,N,N
A716821,Pinto,N,N
A720081,,N,N
A674724,Amy,Y,Y
A684278,,N,N
A715501,Linus,N,N
A683206,X,N,N
A669506,Buddy,N,N
A690406,,N,N
A669449,Rusty,N,N
A671155,Tonka,N,N
A696045,Shelby,N,Y
A695583,Mac,N,N
A681018,Libby 2,N,N
A679408,,N,N
A680876,,N,N
A694393,Bailey,N,Y
A668566,Gizmo,N,N
A689603,Reeses,N,N
A704863,Alistair,N,N
A666197,Leroy,N,Y
A665421,Walter White,N,N
A670405,Best Friend,N,N
A701522,Brooke,N,Y
A709394,Cornelius,N,Y
A698919,Clover,N,N
A671558,Sage,N,N
A716379,Kailah,N,N
A699795,Violet,N,Y
A715241,Roxie,N,Y
A665137,Willie,Y,Y
A682889,Rudy,N,N
A720093,,N,N
A684008,,N,N
A679240,Jude,N,Y
A671950,Toto,N,N
A669264,Scruffy,N,N
A720299,Fuzzbox,N,N
A691815,Maddy,N,N
A595090,Tigz,N,N
A681786,,N,N
A630814,O'Reily,N,N
A699826,,N,N
A692750,Pancha,N,N
A713030,Wanda,N,Y
A697353,Dutchess,N,N
A513770,Felix,N,Y
A681473,,N,N
A684560,Tom,N,Y
A659205,Jerry,Y,Y
A676542,,N,N
A294132,Jasper,N,Y
A667378,Jingle,N,N
A697387,Darling,N,N
A683606,Violet,N,Y
A681575,Sandy,N,Y
A664831,,N,N
A675309,,N,N
A694404,Joni,N,N
A714919,Romulus,N,N
A700103,Georgia,N,Y
A715026,Palomo,N,N
A673061,Coketa,N,N
A678766,,N,N
A676528,Fiona,N,N
A720236,Twila,N,N
A702777,,N,N
A716397,Mako,N,N
A689021,Rocky,N,N
A594497,Chikis,N,N
A691804,Centurion,N,N
A710894,Lady,N,N
A665132,Hershey,N,N
A677468,Cinnamon,N,N
A681469,Smaug,N,N
A691929,Jones,N,N
A611034,Kozi,N,N
A670979,Thunderkit,N,N
A703058,Cricket,N,N
A650853,Prince,N,N
A701766,,N,N
A670542,Taz,N,N
A702941,Smokey,N,N
A676031,Lindsey,N,Y
A699435,Oxford,N,N
A715138,Miki,N,N
A704529,Dane,N,N
A670311,Tim,N,Y
A676804,,N,N
A688945,Elliot,N,N
A665246,Alex,N,Y
A694537,Bentley,N,Y
A673252,Kobe,N,N
A713487,Elia,N,N
A691240,,N,N
A688826,Misty,N,Y
A691863,,N,N
A671426,Big Red,N,N
A683764,Pavel,N,N
A687404,,N,N
A674729,Hannah,Y,Y
A683992,,N,N
A691503,Dixie,N,N
A702133,Bo,N,N
A712123,,N,N
A697071,Benji,N,N
A663019,Johnny,Y,Y
A667792,,N,N
A717093,Bambi,N,N
A715488,,N,N
A669131,Lucky,N,N
A717554,Lucky,N,N
A706488,,N,N
A656510,Sonny,N,N
A691170,Butter,N,N
A668524,Bonita,N,N
A667606,Treasure,N,N
A665066,Gigi,N,N
A676339,Edward,Y,Y
A697673,,N,N
A674674,,N,N
A702031,Brimmer,N,N
A692470,,N,N
A714466,Sam,N,Y
A705975,Laramie,N,N
A683867,Blondie,N,N
A685051,,N,N
A684951,,N,N
A662946,Lyle,N,Y
A670902,Penny,N,Y
A664052,Valentine,N,N
A700710,Buck,N,N
A673180,Chuck,N,N
A655529,Rhino,N,N
A661681,Annie,N,Y
A688232,Sally,N,Y
A711132,Stomper,N,N
A653745,Silvercloud,N,N
A677663,Riley,N,Y
A662260,Todd,N,Y
A696877,Rufus,N,Y
A706462,,N,N
A698392,Chief,N,N
A714805,Dolly,N,N
A706293,Nana,N,N
A674384,Sofie,N,N
A717683,Tabitha,N,Y
A699961,Lil Bear,N,N
A682808,,N,N
A683239,X,N,N
A718343,,N,N
A716587,,N,N
A673190,Charlotte,N,Y
A716113,,N,N
A668579,Chico,N,N
A703745,Coco,N,N
A701935,,N,N
A700318,Charles,Y,Y
A675162,Pequena,N,N
A710969,Dax,N,N
A624128,Kitty Kitty,N,N
A717681,,N,N
A598610,Ellie,N,Y
A703207,Toffee,N,N
A664460,,N,N
A715778,Sugar,N,N
A652148,Rocky,N,N
A664238,,N,N
A680703,,N,N
A709491,Bambi,N,N
A665427,,N,N
A703769,Loki,N,N
A677811,Raven,N,Y
A682522,Pixie,N,N
A692294,,N,N
A689172,,N,N
A704507,,N,N
A665277,Coco,N,N
A696688,Mari,N,N
A668537,Eedo,N,N
A719180,Nobbs,N,N
A701145,,N,N
A675076,Max,N,Y
A670686,Jules,N,N
A712447,Mj,N,N
A709748,,N,N
A660633,Willow,N,Y
A704382,Sky,N,N
A711799,,N,N
A690875,Domino,N,N
A720699,Harvey Dent,N,N
A659671,Carter,N,Y
A689295,Shakespeare,N,N
A676272,,N,N
A700942,,N,N
A704786,Pickles,N,N
A657732,Bella,N,Y
A689773,Lucy,N,Y
A716390,Bullet,N,N
A706292,Rusty,N,N
A704607,Midnight,N,N
A661608,Molly,N,Y
A694229,Pete,N,Y
A685370,Dixon,N,N
A719518,Batman,N,N
A660979,Mia,N,Y
A670251,,N,N
A690816,Chrissie,N,N
A699217,Joey,N,N
A711514,Dakota,N,Y
A717544,,N,N
A663135,Max,N,Y
A702673,Rocko,N,N
A615299,Buddy,N,N
A676330,Bella,N,Y
A715435,,N,N
A703886,,N,N
A702355,,N,N
A695421,Percy,N,Y
A668094,Savannah,N,Y
A702219,Daphnie,N,N
A718558,Rocko,N,N
A689461,Walker,N,N
A689417,Franky,N,N
A381173,Pepper,N,N
A671681,,N,N
A717485,,N,N
A682194,Shimi,N,N
A712523,,N,N
A672179,Spike,N,N
A687539,Eponine,N,N
A667726,,N,N
A680459,Blynken,N,N
A708822,Jack,Y,Y
A693633,Shadow,N,N
A673847,Steamer,N,N
A712880,Jonse,N,N
A679941,,N,N
A689633,,N,N
A719100,Max,N,Y
A686405,,N,N
A669144,Russell,Y,Y
A662398,Buddy,N,N
A691456,Willy,N,N
A705702,Tiger,N,N
A696760,Chance,N,N
A676987,Skyler,N,N
A693553,Darrell,N,Y
A670356,Siren,N,N
A710801,,N,N
A669918,,N,N
A680773,,N,N
A717560,Milo,N,N
A705708,,N,N
A715218,Tyra,N,N
A698184,Dolley,N,N
A696479,Chocolate,N,N
A715618,,N,N
A696866,Jewel,N,N
A588258,Diamond,N,Y
A669845,Smokey,N,N
A718473,Tator Tots,N,N
A689355,Watson,N,N
A703464,,N,N
A710367,Lasienaga,N,N
A704361,Nala,N,N
A702052,,N,N
A711241,Nigel,N,N
A649865,Ruffles,N,N
A706342,Lois,N,Y
A708139,Swoberdie,N,N
A700748,,N,N
A703226,Princess,N,N
A681025,Simone,N,N
A707249,Hunter,N,Y
A710621,Gabby,N,N
A692000,Addy,N,N
A716162,Joker,N,N
A563302,Cypress,N,N
A712549,Beau,N,N
A666512,Puffball,N,N
A705271,,N,N
A694917,Alphonse,N,N
A700011,,N,N
A629077,Queenie,N,N
A720940,Justin,Y,Y
A677816,Arty,N,N
A689274,Giblet,N,N
A671142,Francie,N,N
A682649,Princess,N,N
A698639,,N,N
A681352,Charlotte,N,Y
A665782,,N,N
A685672,Honey,N,N
A713401,Larry,Y,Y
A674481,Gracie,N,Y
A704665,,N,N
A719276,Posh,N,N
A707482,,N,N
A690833,Marmalade,N,N
A681156,,N,N
A673571,,N,N
A718609,Cierra,N,N
A702075,Rocky,N,N
A687517,,N,N
A702178,Bailey,N,Y
A716493,Missy,N,N
A702230,,N,N
A681489,Juni,N,N
A690977,Willie,Y,Y
A676021,,N,N
A701124,Charlie,N,Y
A619636,Boomer,N,N
A703329,Persimmon,N,N
A675146,Desmo,N,N
A681981,Lucy,N,Y
A616489,Lola,N,Y
A634858,Maggie,N,Y
A687010,,N,N
A667185,Arya,N,N
A677516,,N,N
A700632,,N,N
A719538,Marisella,N,N
A666043,Dirk,N,N
A686942,,N,N
A692882,Zippy,N,N
A685298,Mia,N,Y
A718145,Archie,N,Y
A694292,Susan,Y,Y
A683670,Kylie,N,Y
A702443,,N,N
A718264,Maya,N,Y
A690777,Cookie,N,N
