"","ID","years"
"191","A699715",6
"192","A702246",0
"193","A711918",3
"194","A676430",0
"195","A677577",0
"196","A683666",1
"197","A713754",1
"198","A703631",1
"199","A676209",0
"200","A667508",6
"201","A671105",1
"202","A676056",2
"203","A667963",5
"204","A702207",12
"205","A672065",2
"206","A688852",6
"207","A705885",0
"208","A670949",0
"209","A665666",1
"210","A714575",15
"211","A690480",0
"212","A691636",0
"213","A678482",2
"214","A687785",2
"215","A716839",2
"216","A718547",2
"217","A687989",0
"218","A694408",1
"219","A698940",2
"220","A666074",0
"221","A675549",4
"222","A682131",0
"223","A674737",0
"224","A719876",1
"225","A676626",0
"226","A666478",1
"227","A683507",3
"228","A487470",9
"229","A665661",2
"230","A668260",5
"231","A716964",2
"232","A701029",2
"233","A668506",7
"234","A684709",1
"235","A616229",6
"236","A680336",0
"237","A701898",1
"238","A666971",0
"239","A691605",6
"240","A703244",0
"241","A705111",2
"242","A685460",7
"243","A716890",0
"244","A715741",3
"245","A676334",2
"246","A668122",7
"247","A702356",0
"248","A664842",2
"249","A709067",0
"250","A608918",4
"251","A651596",2
"252","A720190",7
"253","A676609",1
"254","A666504",0
"255","A693272",0
"256","A711607",0
"257","A713337",3
"258","A672758",4
"259","A658690",1
"260","A708390",2
"261","A703383",10
"262","A689749",0
"263","A699816",10
"264","A701791",2
"265","A625690",7
"266","A686406",1
"267","A710318",5
"268","A698972",6
"269","A710380",0
"270","A683309",7
"271","A640316",1
"272","A682760",1
"273","A701707",0
"274","A669534",1
"275","A588218",5
"276","A669795",2
"277","A674448",0
"278","A701647",0
"279","A672467",0
"280","A712244",0
"281","A677462",0
"282","A715761",5
"283","A720860",0
"284","A701337",1
"285","A710881",0
"286","A663948",0
"287","A699819",14
"288","A674638",7
"289","A718743",2
"290","A714820",0
"291","A667613",0
"292","A696059",3
"293","A690806",0
"294","A676494",1
"295","A689138",0
"296","A599155",4
"297","A665587",8
"298","A663555",0
"299","A691345",0
"300","A685242",0
"301","A674659",2
"302","A683609",6
"303","A695710",0
"304","A713063",1
"305","A667520",4
"306","A685145",0
"307","A716488",2
"308","A667537",0
"309","A694601",0
"310","A638060",8
"311","A672067",3
"312","A684664",2
"313","A691531",0
"314","A688600",0
"315","A704032",0
"316","A703630",4
"317","A668671",5
"318","A696247",2
"319","A664380",0
"320","A678185",2
"321","A687055",10
"322","A693594",0
"323","A675563",0
"324","A696819",0
"325","A671201",8
"326","A715573",0
"327","A685899",0
"328","A669510",1
"329","A697892",1
"330","A678958",0
"331","A679113",0
"332","A671079",2
"333","A687180",0
"334","A686632",0
"335","A693999",4
"336","A691614",0
"337","A683070",0
"338","A703781",6
"339","A668803",0
"340","A675983",0
"341","A684825",0
"342","A667828",0
"343","A707611",0
"344","A677885",2
"345","A675622",0
"346","A720143",1
"347","A701793",0
"348","A682824",0
"349","A711494",0
"350","A686319",5
"351","A671251",2
"352","A684978",0
"353","A689449",0
"354","A715812",0
"355","A681003",2
"356","A715346",0
"357","A683732",0
"358","A679956",1
"359","A695297",0
"360","A695950",2
"361","A694278",7
"362","A707887",0
"363","A710227",12
"364","A686918",3
"365","A693739",0
"366","A711807",2
"367","A677157",12
"368","A697921",1
"369","A686691",3
"370","A678627",0
"371","A698117",0
"372","A656110",0
"373","A690723",0
"374","A678099",2
"375","A717989",7
"376","A673784",0
"377","A699927",10
"378","A671889",5
"379","A697627",2
"380","A685945",5
"381","A689951",0
"382","A699499",1
"383","A715735",1
"384","A688501",0
"385","A672263",2
"386","A672744",3
"387","A701165",0
"388","A702973",0
"389","A705338",0
"390","A696609",2
"391","A714481",1
"392","A685178",0
"393","A689596",2
"394","A714546",0
"395","A671352",3
"396","A705656",0
"397","A695943",2
"398","A719517",2
"399","A682535",0
"400","A713263",3
"401","A681679",1
"402","A687906",0
"403","A678536",1
"404","A718585",0
"405","A543073",9
"406","A697959",2
"407","A715378",0
"408","A697281",0
"409","A681576",0
"410","A716400",1
"411","A677460",2
"412","A675049",3
"413","A710655",0
"414","A660046",2
"415","A660910",2
"416","A686377",0
"417","A679631",12
"418","A671682",2
"419","A695654",0
"420","A718566",10
"421","A680351",0
"422","A680506",0
"423","A650694",1
"424","A681414",2
"425","A714972",0
"426","A682833",0
"427","A698953",7
"428","A696584",2
"429","A690020",0
"430","A716340",0
"431","A707004",0
"432","A667031",2
"433","A667129",0
"434","A700119",0
"435","A676270",0
"436","A684362",0
"437","A712984",0
"438","A688544",0
"439","A663346",1
"440","A665221",0
"441","A667366",3
"442","A657652",3
"443","A611032",6
"444","A707464",0
"445","A687966",0
"446","A643703",3
"447","A668595",0
"448","A716197",0
"449","A713418",0
"450","A711562",1
"451","A716766",5
"452","A616576",7
"453","A705109",0
"454","A663819",3
"455","A689629",0
"456","A713084",6
"457","A699468",0
"458","A700335",2
"459","A713668",0
"460","A695428",1
"461","A653055",2
"462","A682724",0
"463","A713886",0
"464","A668396",8
"465","A717176",0
"466","A707573",12
"467","A690543",1
"468","A704459",11
"469","A687643",0
"470","A675640",2
"471","A694435",2
"472","A668653",2
"473","A705804",3
"474","A706506",0
"475","A702756",0
"476","A674264",0
"477","A665741",7
"478","A510475",7
"479","A641103",3
"480","A660275",2
"481","A716089",2
"482","A717706",1
"483","A716729",0
"484","A690333",0
"485","A688552",0
"486","A698495",1
"487","A658728",0
"488","A672515",1
"489","A686675",1
"490","A707682",0
"491","A667942",0
"492","A709224",1
"493","A687003",5
"494","A711255",0
"495","A680426",3
"496","A697537",3
"497","A695905",0
"498","A705731",0
"499","A700025",10
"500","A624771",5
"501","A715798",0
"502","A526641",7
"503","A695768",1
"504","A709277",0
"505","A586923",4
"506","A682900",3
"507","A671435",0
"508","A701297",0
"509","A711800",0
"510","A707972",0
"511","A697766",1
"512","A665644",0
"513","A664059",8
"514","A676752",0
"515","A720466",10
"516","A716110",0
"517","A703750",3
"518","A696236",2
"519","A670716",8
"520","A673103",3
"521","A688281",0
"522","A666109",0
"523","A700948",9
"524","A689384",1
"525","A671054",0
"526","A679167",4
"527","A702935",2
"528","A680027",0
"529","A691171",0
"530","A693032",10
"531","A663585",0
"532","A586222",3
"533","A692591",6
"534","A675402",7
"535","A700765",0
"536","A657197",0
"537","A715843",5
"538","A691568",6
"539","A665953",8
"540","A681155",2
"541","A714509",0
"542","A702846",0
"543","A685087",1
"544","A718953",0
"545","A668708",5
"546","A703243",0
"547","A706454",3
"548","A668697",3
"549","A717656",3
"550","A681176",0
"551","A663020",0
"552","A717029",2
"553","A717056",4
"554","A705794",0
"555","A695093",7
"556","A707083",0
"557","A670540",4
"558","A687554",0
"559","A715898",2
"560","A709799",0
"561","A680245",3
"562","A681404",0
"563","A666083",0
"564","A711832",0
"565","A719849",0
"566","A683147",0
"567","A680380",0
"568","A716898",2
"569","A666137",12
"570","A693627",2
"571","A717028",0
"572","A561786",9
"573","A694394",2
"574","A705347",0
"575","A688254",0
"576","A710692",0
"577","A699314",0
"578","A718492",0
"579","A687303",0
"580","A689090",0
"581","A701193",0
"582","A701656",0
"583","A712861",0
"584","A693761",2
"585","A681539",12
"586","A593726",2
"587","A670643",2
"588","A682762",3
"589","A683352",0
"590","A673275",3
"591","A679058",5
"592","A693059",0
"593","A684998",10
"594","A682578",0
"595","A695371",1
"596","A707260",6
"597","A701537",3
"598","A691647",0
"599","A720615",0
"600","A666565",1
"601","A694848",0
"602","A673652",2
"603","A703267",0
"604","A689729",0
"605","A667398",1
"606","A687252",1
"607","A695690",1
"608","A717907",0
"609","A681932",0
"610","A664945",10
"611","A657904",2
"612","A670155",0
"613","A686404",0
"614","A711802",0
"615","A688226",1
"616","A535012",7
"617","A660604",0
"618","A683456",2
"619","A721025",12
"620","A705505",0
"621","A715502",0
"622","A683654",1
"623","A716802",0
"624","A681563",0
"625","A679384",0
"626","A705433",0
"627","A683392",1
"628","A683817",1
"629","A690588",1
"630","A704672",0
"631","A701434",0
"632","A681972",0
"633","A702984",1
"634","A663997",2
"635","A711472",0
"636","A695687",2
"637","A697554",0
"638","A694674",1
"639","A664593",2
"640","A719307",0
"641","A705519",1
"642","A689744",3
"643","A676154",0
"644","A713410",3
"645","A700056",1
"646","A689897",2
"647","A687423",0
"648","A694865",0
"649","A718299",5
"650","A680305",0
"651","A674160",10
"652","A642711",2
"653","A665445",0
"654","A687378",1
"655","A675416",1
"656","A666731",0
"657","A699613",3
"658","A688594",0
"659","A710122",1
"660","A665579",0
"661","A678709",0
"662","A698216",1
"663","A690256",1
"664","A711134",2
"665","A719354",0
"666","A689347",0
"667","A683437",0
"668","A691943",0
"669","A680552",0
"670","A708817",0
"671","A694190",12
"672","A478579",12
"673","A713897",0
"674","A705521",1
"675","A705654",0
"676","A612816",5
"677","A683518",8
"678","A680524",8
"679","A717718",1
"680","A699353",2
"681","A654355",1
"682","A684013",0
"683","A712201",0
"684","A701831",2
"685","A707618",0
"686","A699602",4
"687","A703191",0
"688","A688823",0
"689","A709479",5
"690","A694794",0
"691","A690725",0
"692","A676524",0
"693","A691032",3
"694","A693693",3
"695","A679815",0
"696","A679552",1
"697","A668484",2
"698","A689856",0
"699","A681407",2
"700","A605352",6
"701","A690290",0
"702","A718929",5
"703","A708602",0
"704","A676191",0
"705","A697174",0
"706","A665786",15
"707","A522809",8
"708","A679337",1
"709","A660950",0
"710","A708064",1
"711","A671257",2
"712","A664213",0
"713","A670629",0
"714","A704979",0
"715","A703922",0
"716","A686684",9
"717","A449107",7
"718","A720432",6
"719","A698633",10
"720","A710884",0
"721","A677755",8
"722","A720442",0
"723","A705881",3
"724","A672337",0
"725","A668477",0
"726","A708716",0
"727","A664347",0
"728","A717099",0
"729","A489376",11
"730","A694544",1
"731","A677576",5
"732","A689653",2
"733","A712959",5
"734","A654616",1
"735","A644525",3
"736","A677236",1
"737","A669142",0
"738","A713441",2
"739","A704432",0
"740","A698794",1
"741","A271790",12
"742","A682106",0
"743","A667035",2
"744","A698029",1
"745","A701199",1
"746","A711920",2
"747","A718991",1
"748","A669173",0
"749","A682501",0
"750","A714364",0
"751","A714741",2
"752","A676304",0
"753","A669888",2
"754","A686104",1
"755","A716126",2
"756","A688523",1
"757","A710538",0
"758","A687319",2
"759","A716622",3
"760","A720428",0
"761","A719294",0
"762","A690840",0
"763","A692374",0
"764","A670333",3
"765","A680224",0
"766","A663623",0
"767","A665213",2
"768","A680156",0
"769","A685580",0
"770","A706565",0
"771","A706951",2
"772","A694012",11
"773","A703126",0
"774","A664116",0
"775","A672395",2
"776","A689583",0
"777","A705677",2
"778","A521273",7
"779","A693655",0
"780","A679098",1
"781","A649782",6
"782","A684378",0
"783","A661384",0
"784","A693077",6
"785","A682994",4
"786","A665279",1
"787","A708871",1
"788","A711718",1
"789","A695323",0
"790","A684585",0
"791","A670417",5
"792","A686558",2
"793","A715965",2
"794","A669406",2
"795","A673234",3
"796","A640778",1
"797","A697529",4
"798","A712616",2
"799","A709165",0
"800","A713318",1
"801","A709953",2
"802","A669208",1
"803","A712316",0
"804","A683269",1
"805","A675323",0
"806","A640789",2
"807","A700861",0
"808","A694584",2
"809","A666961",2
"810","A713375",4
"811","A705192",11
"812","A697260",0
"813","A678131",2
"814","A685318",0
"815","A668898",6
"816","A679505",0
"817","A622844",4
"818","A681814",4
"819","A683148",0
"820","A681774",0
"821","A625640",2
"822","A694070",3
"823","A714966",0
"824","A667732",2
"825","A668353",2
"826","A689857",0
"827","A676996",3
"828","A627488",11
"829","A717663",2
"830","A503376",7
"831","A690375",1
"832","A716821",7
"833","A720081",0
"834","A674724",4
"835","A684278",0
"836","A715501",0
"837","A683206",1
"838","A669506",2
"839","A690406",4
"840","A669449",10
"841","A671155",2
"842","A696045",2
"843","A695583",0
"844","A681018",1
"845","A679408",0
"846","A680876",3
"847","A694393",4
"848","A668566",0
"849","A689603",0
"850","A704863",0
"851","A666197",2
"852","A665421",1
"853","A670405",3
"854","A701522",1
"855","A709394",0
"856","A698919",0
"857","A671558",2
"858","A716379",2
"859","A699795",5
"860","A715241",5
"861","A665137",1
"862","A682889",0
"863","A720093",3
"864","A684008",0
"865","A679240",0
"866","A671950",4
"867","A669264",0
"868","A720299",0
"869","A691815",2
"870","A595090",5
"871","A681786",0
"872","A630814",8
"873","A699826",0
"874","A692750",1
"875","A713030",0
"876","A697353",2
"877","A513770",8
"878","A681473",0
"879","A684560",0
"880","A659205",0
"881","A676542",0
"882","A294132",12
"883","A667378",1
"884","A697387",8
"885","A683606",0
"886","A681575",0
"887","A664831",0
"888","A675309",0
"889","A694404",0
"890","A714919",0
"891","A700103",1
"892","A715026",1
"893","A673061",3
"894","A678766",0
"895","A676528",4
"896","A720236",1
"897","A702777",0
"898","A716397",0
"899","A689021",0
"900","A594497",3
"901","A691804",2
"902","A710894",2
"903","A665132",0
"904","A677468",0
"905","A681469",0
"906","A691929",0
"907","A611034",5
"908","A670979",8
"909","A703058",1
"910","A650853",5
"911","A701766",1
"912","A670542",1
"913","A702941",0
"914","A676031",4
"915","A699435",2
"916","A715138",2
"917","A704529",0
"918","A670311",0
"919","A676804",0
"920","A688945",1
"921","A665246",0
"922","A694537",4
"923","A673252",2
"924","A713487",0
"925","A691240",10
"926","A688826",10
"927","A691863",5
"928","A671426",3
"929","A683764",0
"930","A687404",0
"931","A674729",3
"932","A683992",0
"933","A691503",0
"934","A702133",5
"935","A712123",0
"936","A697071",0
"937","A663019",0
"938","A667792",2
"939","A717093",5
"940","A715488",1
"941","A669131",2
"942","A717554",5
"943","A706488",0
"944","A656510",7
"945","A691170",0
"946","A668524",0
"947","A667606",0
"948","A665066",4
"949","A676339",0
"950","A697673",1
"951","A674674",0
"952","A702031",2
"953","A692470",1
"954","A714466",0
"955","A705975",0
"956","A683867",0
"957","A685051",0
"958","A684951",0
"959","A662946",1
"960","A670902",0
"961","A664052",5
"962","A700710",0
"963","A673180",5
"964","A655529",1
"965","A661681",2
"966","A688232",5
"967","A711132",2
"968","A653745",3
"969","A677663",0
"970","A662260",0
"971","A696877",2
"972","A706462",0
"973","A698392",0
"974","A714805",0
"975","A706293",6
"976","A674384",4
"977","A717683",3
"978","A699961",1
"979","A682808",0
"980","A683239",5
"981","A718343",0
"982","A716587",2
"983","A673190",1
"984","A716113",0
"985","A668579",0
"986","A703745",12
"987","A701935",0
"988","A700318",6
"989","A675162",4
"990","A710969",6
"991","A624128",5
"992","A717681",0
"993","A598610",3
"994","A703207",2
"995","A664460",15
"996","A715778",1
"997","A652148",2
"998","A664238",0
"999","A680703",0
"1000","A709491",0
"1001","A665427",1
"1002","A703769",2
"1003","A677811",0
"1004","A682522",0
"1005","A692294",0
"1006","A689172",0
"1007","A704507",0
"1008","A665277",0
"1009","A696688",3
"1010","A668537",1
"1011","A719180",0
"1012","A701145",7
"1013","A675076",5
"1014","A670686",3
"1015","A712447",4
"1016","A709748",0
"1017","A660633",1
"1018","A704382",2
"1019","A711799",0
"1020","A690875",0
"1021","A720699",2
"1022","A659671",1
"1023","A689295",0
"1024","A676272",0
"1025","A700942",0
"1026","A704786",0
"1027","A657732",2
"1028","A689773",0
"1029","A716390",0
"1030","A706292",1
"1031","A704607",15
"1032","A661608",2
"1033","A694229",1
"1034","A685370",0
"1035","A719518",0
"1036","A660979",4
"1037","A670251",0
"1038","A690816",0
"1039","A699217",0
"1040","A711514",0
"1041","A717544",0
"1042","A663135",5
"1043","A702673",0
"1044","A615299",4
"1045","A676330",0
"1046","A715435",0
"1047","A703886",0
"1048","A702355",0
"1049","A695421",3
"1050","A668094",2
"1051","A702219",12
"1052","A718558",8
"1053","A689461",1
"1054","A689417",0
"1055","A381173",14
"1056","A671681",2
"1057","A717485",0
"1058","A682194",2
"1059","A712523",0
"1060","A672179",2
"1061","A687539",0
"1062","A667726",0
"1063","A680459",0
"1064","A708822",4
"1065","A693633",1
"1066","A673847",12
"1067","A712880",0
"1068","A679941",1
"1069","A689633",0
"1070","A719100",0
"1071","A686405",0
"1072","A669144",1
"1073","A662398",2
"1074","A691456",0
"1075","A705702",1
"1076","A696760",3
"1077","A676987",1
"1078","A693553",4
"1079","A670356",0
"1080","A710801",0
"1081","A669918",0
"1082","A680773",0
"1083","A717560",0
"1084","A705708",2
"1085","A715218",0
"1086","A698184",3
"1087","A696479",1
"1088","A715618",2
"1089","A696866",5
"1090","A588258",8
"1091","A669845",2
"1092","A718473",5
"1093","A689355",0
"1094","A703464",0
"1095","A710367",0
"1096","A704361",0
"1097","A702052",0
"1098","A711241",0
"1099","A649865",1
"1100","A706342",2
"1101","A708139",7
"1102","A700748",0
"1103","A703226",2
"1104","A681025",1
"1105","A707249",7
"1106","A710621",0
"1107","A692000",0
"1108","A716162",1
"1109","A563302",6
"1110","A712549",2
"1111","A666512",8
"1112","A705271",0
"1113","A694917",1
"1114","A700011",0
"1115","A629077",7
"1116","A720940",1
"1117","A677816",1
"1118","A689274",0
"1119","A671142",2
"1120","A682649",0
"1121","A698639",1
"1122","A681352",0
"1123","A665782",0
"1124","A685672",2
"1125","A713401",0
"1126","A674481",4
"1127","A704665",0
"1128","A719276",16
"1129","A707482",0
"1130","A690833",0
"1131","A681156",0
"1132","A673571",2
"1133","A718609",6
"1134","A702075",11
"1135","A687517",0
"1136","A702178",2
"1137","A716493",9
"1138","A702230",2
"1139","A681489",3
"1140","A690977",2
"1141","A676021",0
"1142","A701124",2
"1143","A619636",3
"1144","A703329",0
"1145","A675146",1
"1146","A681981",2
"1147","A616489",3
"1148","A634858",3
"1149","A687010",0
"1150","A667185",2
"1151","A677516",0
"1152","A700632",0
"1153","A719538",0
"1154","A666043",1
"1155","A686942",0
"1156","A692882",6
"1157","A685298",1
"1158","A718145",4
"1159","A694292",0
"1160","A683670",0
"1161","A702443",0
"1162","A718264",2
"1163","A690777",2
"1164","A680538",0
"1165","A673515",2
"1166","A699843",0
"1167","A720214",3
"1168","A512959",6
"1169","A668231",0
"1170","A701765",2
"1171","A701910",1
"1172","A666545",3
"1173","A713610",1
"1174","A668844",1
"1175","A690349",2
"1176","A715704",2
"1177","A704921",0
"1178","A717068",2
"1179","A700295",0
"1180","A681421",0
"1181","A665304",0
"1182","A704894",0
"1183","A666505",3
"1184","A665129",0
"1185","A551055",11
"1186","A693393",2
"1187","A685904",2
"1188","A705769",0
"1189","A708958",0
"1190","A717483",3
"1191","A692546",0
"1192","A675393",1
"1193","A704046",0
"1194","A670087",7
"1195","A695935",2
"1196","A665698",0
"1197","A714227",2
"1198","A698936",1
"1199","A695204",1
"1200","A698896",2
"1201","A638621",4
"1202","A686592",2
"1203","A710536",0
"1204","A701706",0
"1205","A665072",0
"1206","A686182",10
"1207","A678579",3
"1208","A683663",0
"1209","A708758",0
"1210","A681153",0
"1211","A689687",2
"1212","A702845",0
"1213","A709954",3
"1214","A700751",0
"1215","A664768",0
"1216","A687740",5
"1217","A677556",4
"1218","A714737",7
"1219","A708078",9
"1220","A693889",0
"1221","A689829",1
"1222","A714025",2
"1223","A660345",0
"1224","A669140",0
"1225","A676176",2
"1226","A715359",0
"1227","A691919",0
"1228","A674671",0
"1229","A700582",2
"1230","A687185",4
"1231","A709637",7
"1232","A700567",7
"1233","A710321",0
"1234","A711404",0
"1235","A693715",0
"1236","A612711",4
"1237","A705698",0
"1238","A664112",0
"1239","A707728",0
"1240","A699391",2
"1241","A699534",1
"1242","A690776",0
"1243","A702533",2
"1244","A716218",4
"1245","A624436",3
"1246","A596942",8
"1247","A701045",2
"1248","A601482",7
"1249","A699191",2
"1250","A667545",0
"1251","A680834",1
"1252","A215368",13
"1253","A711600",0
"1254","A670718",6
"1255","A709471",0
"1256","A698265",2
"1257","A683700",5
"1258","A698566",2
"1259","A669977",1
"1260","A552877",8
"1261","A675639",3
"1262","A701607",1
"1263","A710237",7
"1264","A686679",0
"1265","A692453",2
"1266","A682485",2
"1267","A674746",3
"1268","A706138",0
"1269","A693935",5
"1270","A688064",0
"1271","A697171",2
"1272","A678474",4
"1273","A684704",0
"1274","A697320",1
"1275","A714081",4
"1276","A685603",0
"1277","A703270",0
"1278","A651306",3
"1279","A696044",1
"1280","A694347",0
"1281","A510336",7
"1282","A689894",2
"1283","A708283",0
"1284","A525592",7
"1285","A667153",0
"1286","A694398",0
"1287","A678841",0
"1288","A670833",1
"1289","A720141",2
"1290","A670391",2
"1291","A667794",1
"1292","A680971",0
"1293","A665403",1
"1294","A701610",0
"1295","A672280",0
"1296","A700035",1
"1297","A705048",2
"1298","A718798",1
"1299","A677733",4
"1300","A700148",0
"1301","A685822",5
"1302","A448020",14
"1303","A693628",2
"1304","A678199",0
"1305","A702705",1
"1306","A669053",0
"1307","A616027",2
"1308","A679649",0
"1309","A679555",0
"1310","A708920",0
"1311","A675525",3
"1312","A698564",0
"1313","A679765",3
"1314","A719494",1
"1315","A685432",6
"1316","A682197",0
"1317","A706477",12
"1318","A715230",0
"1319","A710193",8
"1320","A714641",1
"1321","A706260",1
"1322","A708568",0
"1323","A697990",4
"1324","A682610",0
"1325","A707446",0
"1326","A672400",0
"1327","A680991",0
"1328","A716088",0
"1329","A669934",2
"1330","A709997",2
"1331","A693125",6
"1332","A677668",0
"1333","A342480",14
"1334","A683655",0
"1335","A678614",0
"1336","A673726",0
"1337","A697603",0
"1338","A628792",3
"1339","A684687",1
"1340","A702902",1
"1341","A713560",3
"1342","A681561",0
"1343","A688162",0
"1344","A719796",6
"1345","A696833",5
"1346","A704501",9
"1347","A673216",2
"1348","A415589",10
"1349","A709200",0
"1350","A668319",0
"1351","A688850",3
"1352","A662147",0
"1353","A680766",0
"1354","A685245",0
"1355","A697908",1
"1356","A283735",13
"1357","A687863",2
"1358","A688536",0
"1359","A685185",0
"1360","A699933",0
"1361","A651299",2
"1362","A676143",0
"1363","A711910",8
"1364","A691281",0
"1365","A696637",1
"1366","A700913",0
"1367","A703721",0
"1368","A648687",1
"1369","A672573",2
"1370","A713362",0
"1371","A667955",2
"1372","A697206",0
"1373","A716743",2
"1374","A688569",0
"1375","A712883",3
"1376","A681939",0
"1377","A696055",1
"1378","A705526",10
"1379","A680244",0
"1380","A680444",6
"1381","A716076",3
"1382","A716636",2
"1383","A707974",2
"1384","A681006",4
"1385","A584947",11
"1386","A624189",3
"1387","A674311",0
"1388","A683466",0
"1389","A708080",2
"1390","A640416",4
"1391","A677877",2
"1392","A687624",1
"1393","A696292",1
"1394","A693332",2
"1395","A709058",6
"1396","A692897",11
"1397","A693872",8
"1398","A701185",9
"1399","A652270",0
"1400","A701641",4
"1401","A705802",0
"1402","A693030",0
"1403","A680720",0
"1404","A711598",1
"1405","A695483",2
"1406","A669699",2
"1407","A484945",7
"1408","A676606",0
"1409","A676224",5
"1410","A675932",1
"1411","A701369",0
"1412","A715280",0
"1413","A683959",0
"1414","A670260",12
"1415","A697604",0
"1416","A647886",10
"1417","A705036",1
"1418","A717842",1
"1419","A695823",0
"1420","A681139",2
"1421","A646980",2
"1422","A671314",0
"1423","A683676",2
"1424","A715627",5
"1425","A661986",0
"1426","A688059",0
"1427","A717615",4
"1428","A709989",0
"1429","A683293",0
"1430","A664439",0
"1431","A672762",0
"1432","A688036",2
"1433","A679928",0
"1434","A697715",2
"1435","A659731",2
"1436","A687344",2
"1437","A693005",1
"1438","A690535",0
"1439","A699574",2
"1440","A708073",0
"1441","A690413",7
"1442","A677474",2
"1443","A669837",2
"1444","A535484",5
"1445","A696319",12
"1446","A667407",0
"1447","A716491",4
"1448","A547088",6
"1449","A716372",0
"1450","A676813",2
"1451","A682879",0
"1452","A703780",1
"1453","A712980",0
"1454","A669899",0
"1455","A703887",0
"1456","A686705",2
"1457","A675940",0
"1458","A681508",0
"1459","A687069",0
"1460","A697812",6
"1461","A696438",2
"1462","A655516",2
"1463","A716316",0
"1464","A678847",0
"1465","A664749",0
"1466","A701041",0
"1467","A689132",0
"1468","A714280",0
"1469","A699036",2
"1470","A704944",4
"1471","A718762",0
"1472","A701484",0
"1473","A688447",0
"1474","A690025",0
"1475","A716774",3
"1476","A661823",1
"1477","A709817",1
"1478","A693807",0
"1479","A689246",2
"1480","A704206",0
"1481","A714104",0
"1482","A679538",1
"1483","A690734",4
"1484","A702233",0
"1485","A682338",1
"1486","A674317",11
"1487","A708469",1
"1488","A707305",0
"1489","A683893",1
"1490","A716399",0
"1491","A715717",0
"1492","A717520",3
"1493","A699512",1
"1494","A700337",4
"1495","A713324",2
"1496","A688264",1
"1497","A678921",12
"1498","A677949",2
