"","Name","AnimalID","sentiment_score","sentiment_desc"
"147","","A674519",-1,"Negative"
"148","","A690519",-1,"Negative"
"149","","A715694",-1,"Negative"
"150","","A704227",-1,"Negative"
"151","","A682459",-1,"Negative"
"152","","A701153",-1,"Negative"
"153","","A715380",-1,"Negative"
"154","","A715758",-1,"Negative"
"155","","A678050",-1,"Negative"
"156","","A710998",-1,"Negative"
"157","","A679441",-1,"Negative"
"158","","A681677",-1,"Negative"
"159","","A686936",-1,"Negative"
"160","","A712645",-1,"Negative"
"161","","A701989",-1,"Negative"
"162","","A687336",-1,"Negative"
"163","","A675481",-1,"Negative"
"164","","A688461",-1,"Negative"
"165","","A664304",-1,"Negative"
"166","","A700008",-1,"Negative"
"167","","A700208",-1,"Negative"
"168","","A670859",-1,"Negative"
"169","","A702246",-1,"Negative"
"170","","A713770",-1,"Negative"
"171","","A674913",-1,"Negative"
"172","","A685891",-1,"Negative"
"173","","A683666",-1,"Negative"
"174","","A703081",-1,"Negative"
"175","","A685375",-1,"Negative"
"176","","A667940",-1,"Negative"
"177","","A683241",-1,"Negative"
"178","","A671105",-1,"Negative"
"179","","A713918",-1,"Negative"
"180","","A667963",-1,"Negative"
"181","","A714723",-1,"Negative"
"182","","A701155",-1,"Negative"
"183","","A711727",-1,"Negative"
"184","","A682536",-1,"Negative"
"185","","A706495",-1,"Negative"
"186","","A693455",-1,"Negative"
"187","","A718012",-1,"Negative"
"188","","A690480",-1,"Negative"
"189","","A705489",-1,"Negative"
"190","","A678482",-1,"Negative"
"191","","A683343",-1,"Negative"
"192","","A704634",-1,"Negative"
"193","","A718547",-1,"Negative"
"194","","A687989",-1,"Negative"
"195","","A688967",-1,"Negative"
"196","","A698940",-1,"Negative"
"197","","A706859",-1,"Negative"
"198","","A705640",-1,"Negative"
"199","","A682131",-1,"Negative"
"200","","A665901",-1,"Negative"
"201","","A671623",-1,"Negative"
"202","","A679107",-1,"Negative"
"203","","A717953",-1,"Negative"
"204","","A683507",-1,"Negative"
"205","","A664969",-1,"Negative"
"206","","A685589",-1,"Negative"
"207","","A668260",-1,"Negative"
"208","","A700811",-1,"Negative"
"209","","A669128",-1,"Negative"
"210","","A668438",-1,"Negative"
"211","","A684709",-1,"Negative"
"212","","A692787",-1,"Negative"
"213","","A664995",-1,"Negative"
"214","","A695971",-1,"Negative"
"215","","A666971",-1,"Negative"
"216","","A695338",-1,"Negative"
"217","","A703244",-1,"Negative"
"218","","A666592",-1,"Negative"
"219","","A685096",-1,"Negative"
"220","","A688749",-1,"Negative"
"221","","A673859",-1,"Negative"
"222","","A676334",-1,"Negative"
"223","","A668122",-1,"Negative"
"224","","A702356",-1,"Negative"
"225","","A694562",-1,"Negative"
"226","","A711796",-1,"Negative"
"227","","A703486",-1,"Negative"
"228","","A678071",-1,"Negative"
"229","","A683744",-1,"Negative"
"230","","A674662",-1,"Negative"
"231","","A666504",-1,"Negative"
"232","","A703570",-1,"Negative"
"233","","A711515",-1,"Negative"
"234","","A713337",-1,"Negative"
"235","","A711411",-1,"Negative"
"236","","A681481",-1,"Negative"
"237","","A687130",-1,"Negative"
"238","","A713453",-1,"Negative"
"239","","A708849",-1,"Negative"
"240","","A677304",-1,"Negative"
"241","","A703872",-1,"Negative"
"242","","A713151",-1,"Negative"
"243","","A686406",-1,"Negative"
"244","","A705315",-1,"Negative"
"245","","A685072",-1,"Negative"
"246","","A710380",-1,"Negative"
"247","","A683309",-1,"Negative"
"248","","A668322",-1,"Negative"
"249","","A715252",-1,"Negative"
"250","","A701707",-1,"Negative"
"251","","A669534",-1,"Negative"
"252","","A682158",-1,"Negative"
"253","","A701256",-1,"Negative"
"254","","A699490",-1,"Negative"
"255","","A701647",-1,"Negative"
"256","","A705037",-1,"Negative"
"257","","A712244",-1,"Negative"
"258","","A677462",-1,"Negative"
"259","","A715761",-1,"Negative"
"260","","A720860",-1,"Negative"
"261","","A701337",-1,"Negative"
"262","","A671050",-1,"Negative"
"263","","A679526",-1,"Negative"
"264","","A673842",-1,"Negative"
"265","","A665568",-1,"Negative"
"266","","A689981",-1,"Negative"
"267","","A677669",-1,"Negative"
"268","","A687683",-1,"Negative"
"269","","A658288",-1,"Negative"
"270","","A672589",-1,"Negative"
"271","","A679447",-1,"Negative"
"272","","A689138",-1,"Negative"
"273","","A679722",-1,"Negative"
"274","","A678404",-1,"Negative"
"275","","A703832",-1,"Negative"
"276","","A673866",-1,"Negative"
"277","","A685242",-1,"Negative"
"278","","A674659",-1,"Negative"
"279","","A696648",-1,"Negative"
"280","","A706508",-1,"Negative"
"281","","A713063",-1,"Negative"
"282","","A667520",-1,"Negative"
"283","","A680103",-1,"Negative"
"284","","A716488",-1,"Negative"
"285","","A703155",-1,"Negative"
"286","","A710292",-1,"Negative"
"287","","A715113",-1,"Negative"
"288","","A711220",-1,"Negative"
"289","","A713336",-1,"Negative"
"290","","A691531",-1,"Negative"
"291","","A688600",-1,"Negative"
"292","","A675580",-1,"Negative"
"293","","A679155",-1,"Negative"
"294","","A686668",-1,"Negative"
"295","","A711518",-1,"Negative"
"296","","A664380",-1,"Negative"
"297","","A678185",-1,"Negative"
"298","","A696252",-1,"Negative"
"299","","A693594",-1,"Negative"
"300","","A709242",-1,"Negative"
"301","","A696927",-1,"Negative"
"302","","A703980",-1,"Negative"
"303","","A715573",-1,"Negative"
"304","","A685899",-1,"Negative"
"305","","A681764",-1,"Negative"
"306","","A701589",-1,"Negative"
"307","","A679734",-1,"Negative"
"308","","A679113",-1,"Negative"
"309","","A671079",-1,"Negative"
"310","","A687180",-1,"Negative"
"311","","A687594",-1,"Negative"
"312","","A702635",-1,"Negative"
"313","","A698116",-1,"Negative"
"314","","A683070",-1,"Negative"
"315","","A719861",-1,"Negative"
"316","","A711389",-1,"Negative"
"317","","A675983",-1,"Negative"
"318","","A700441",-1,"Negative"
"319","","A667828",-1,"Negative"
"320","","A668218",-1,"Negative"
"321","","A695343",-1,"Negative"
"322","","A675622",-1,"Negative"
"323","","A720143",-1,"Negative"
"324","","A701793",-1,"Negative"
"325","","A682824",-1,"Negative"
"326","","A716029",-1,"Negative"
"327","","A685190",-1,"Negative"
"328","","A697143",-1,"Negative"
"329","","A684978",-1,"Negative"
"330","","A669298",-1,"Negative"
"331","","A715812",-1,"Negative"
"332","","A681003",-1,"Negative"
"333","","A711261",-1,"Negative"
"334","","A683732",-1,"Negative"
"335","","A695636",-1,"Negative"
"336","","A713505",-1,"Negative"
"337","","A712980",-1,"Negative"
"338","","A678697",-1,"Negative"
"339","","A689737",-1,"Negative"
"340","","A675483",-1,"Negative"
"341","","A682425",-1,"Negative"
"342","","A712219",-1,"Negative"
"343","","A711367",-1,"Negative"
"344","","A703813",-1,"Negative"
"345","","A706507",-1,"Negative"
"346","","A686691",-1,"Negative"
"347","","A705862",-1,"Negative"
"348","","A698117",-1,"Negative"
"349","","A703431",-1,"Negative"
"350","","A682474",-1,"Negative"
"351","","A710305",-1,"Negative"
"352","","A693879",-1,"Negative"
"353","","A698073",-1,"Negative"
"354","","A700413",-1,"Negative"
"355","","A720109",-1,"Negative"
"356","","A680948",-1,"Negative"
"357","","A705581",-1,"Negative"
"358","","A674103",-1,"Negative"
"359","","A699499",-1,"Negative"
"360","","A687278",-1,"Negative"
"361","","A709566",-1,"Negative"
"362","","A707406",-1,"Negative"
"363","","A670285",-1,"Negative"
"364","","A701165",-1,"Negative"
"365","","A702973",-1,"Negative"
"366","","A705338",-1,"Negative"
"367","","A690754",-1,"Negative"
"368","","A681961",-1,"Negative"
"369","","A685178",-1,"Negative"
"370","","A689596",-1,"Negative"
"371","","A672243",-1,"Negative"
"372","","A670729",-1,"Negative"
"373","","A673937",-1,"Negative"
"374","","A712284",-1,"Negative"
"375","","A719517",-1,"Negative"
"376","","A682535",-1,"Negative"
"377","","A711635",-1,"Negative"
"378","","A682895",-1,"Negative"
"379","","A701083",-1,"Negative"
"380","","A680323",-1,"Negative"
"381","","A718585",-1,"Negative"
"382","","A719331",-1,"Negative"
"383","","A710502",-1,"Negative"
"384","","A699809",-1,"Negative"
"385","","A697281",-1,"Negative"
"386","","A675302",-1,"Negative"
"387","","A678494",-1,"Negative"
"388","","A677782",-1,"Negative"
"389","","A674595",-1,"Negative"
"390","","A675119",-1,"Negative"
"391","","A712111",-1,"Negative"
"392","","A685302",-1,"Negative"
"393","","A686377",-1,"Negative"
"394","","A715875",-1,"Negative"
"395","","A671682",-1,"Negative"
"396","","A684697",-1,"Negative"
"397","","A680553",-1,"Negative"
"398","","A694679",-1,"Negative"
"399","","A708363",-1,"Negative"
"400","","A678312",-1,"Negative"
"401","","A681414",-1,"Negative"
"402","","A716929",-1,"Negative"
"403","","A678109",-1,"Negative"
"404","","A698953",-1,"Negative"
"405","","A677564",-1,"Negative"
"406","","A687386",-1,"Negative"
"407","","A682954",-1,"Negative"
"408","","A687199",-1,"Negative"
"409","","A681933",-1,"Negative"
"410","","A684835",-1,"Negative"
"411","","A700119",-1,"Negative"
"412","","A676270",-1,"Negative"
"413","","A681723",-1,"Negative"
"414","","A702095",-1,"Negative"
"415","","A695028",-1,"Negative"
"416","","A709163",-1,"Negative"
"417","","A665221",-1,"Negative"
"418","","A667366",-1,"Negative"
"419","","A677635",-1,"Negative"
"420","","A702942",-1,"Negative"
"421","","A705866",-1,"Negative"
"422","","A687966",-1,"Negative"
"423","","A720636",-1,"Negative"
"424","","A668595",-1,"Negative"
"425","","A719365",-1,"Negative"
"426","","A713418",-1,"Negative"
"427","","A706547",-1,"Negative"
"428","","A695706",-1,"Negative"
"429","","A684632",-1,"Negative"
"430","","A705109",-1,"Negative"
"431","","A706850",-1,"Negative"
"432","","A689629",-1,"Negative"
"433","","A687281",-1,"Negative"
"434","","A688752",-1,"Negative"
"435","","A682472",-1,"Negative"
"436","","A713668",-1,"Negative"
"437","","A695428",-1,"Negative"
"438","","A674193",-1,"Negative"
"439","","A670638",-1,"Negative"
"440","","A689403",-1,"Negative"
"441","","A668396",-1,"Negative"
"442","","A717176",-1,"Negative"
"443","","A677536",-1,"Negative"
"444","","A697807",-1,"Negative"
"445","","A718458",-1,"Negative"
"446","","A687643",-1,"Negative"
"447","","A681204",-1,"Negative"
"448","","A687765",-1,"Negative"
"449","","A712209",-1,"Negative"
"450","","A686996",-1,"Negative"
"451","","A706506",-1,"Negative"
"452","","A702756",-1,"Negative"
"453","","A674264",-1,"Negative"
"454","","A693896",-1,"Negative"
"455","","A689171",-1,"Negative"
"456","","A669179",-1,"Negative"
"457","","A688660",-1,"Negative"
"458","","A716089",-1,"Negative"
"459","","A702749",-1,"Negative"
"460","","A707327",-1,"Negative"
"461","","A690333",-1,"Negative"
"462","","A687552",-1,"Negative"
"463","","A699376",-1,"Negative"
"464","","A720820",-1,"Negative"
"465","","A672515",-1,"Negative"
"466","","A701171",-1,"Negative"
"467","","A692959",-1,"Negative"
"468","","A688087",-1,"Negative"
"469","","A709224",-1,"Negative"
"470","","A687071",-1,"Negative"
"471","","A711255",-1,"Negative"
"472","","A684706",-1,"Negative"
"473","","A713651",-1,"Negative"
"474","","A664932",-1,"Negative"
"475","","A710901",-1,"Negative"
"476","","A686523",-1,"Negative"
"477","","A688690",-1,"Negative"
"478","","A715798",-1,"Negative"
"479","","A668472",-1,"Negative"
"480","","A665352",-1,"Negative"
"481","","A710614",-1,"Negative"
"482","","A716515",-1,"Negative"
"483","","A704682",-1,"Negative"
"484","","A666809",-1,"Negative"
"485","","A701297",-1,"Negative"
"486","","A711800",-1,"Negative"
"487","","A707972",-1,"Negative"
"488","","A717148",-1,"Negative"
"489","","A665644",-1,"Negative"
"490","","A700136",-1,"Negative"
"491","","A704496",-1,"Negative"
"492","","A683724",-1,"Negative"
"493","","A697103",-1,"Negative"
"494","","A718401",-1,"Negative"
"495","","A716318",-1,"Negative"
"496","","A681543",-1,"Negative"
"497","","A696876",-1,"Negative"
"498","","A709241",-1,"Negative"
"499","","A707866",-1,"Negative"
"500","","A700948",-1,"Negative"
"501","","A684034",-1,"Negative"
"502","","A669940",-1,"Negative"
"503","","A679167",-1,"Negative"
"504","","A711639",-1,"Negative"
"505","","A680027",-1,"Negative"
"506","","A703873",-1,"Negative"
"507","","A711340",-1,"Negative"
"508","","A712525",-1,"Negative"
"509","","A664148",-1,"Negative"
"510","","A681271",-1,"Negative"
"511","","A680262",-1,"Negative"
"512","","A683659",-1,"Negative"
"513","","A702171",-1,"Negative"
"514","","A670359",-1,"Negative"
"515","","A706521",-1,"Negative"
"516","","A665953",-1,"Negative"
"517","","A707216",-1,"Negative"
"518","","A714509",-1,"Negative"
"519","","A702846",-1,"Negative"
"520","","A685087",-1,"Negative"
"521","","A718953",-1,"Negative"
"522","","A673860",-1,"Negative"
"523","","A703243",-1,"Negative"
"524","","A683721",-1,"Negative"
"525","","A680214",-1,"Negative"
"526","","A717656",-1,"Negative"
"527","","A706570",-1,"Negative"
"528","","A686809",-1,"Negative"
"529","","A711382",-1,"Negative"
"530","","A689178",-1,"Negative"
"531","","A700966",-1,"Negative"
"532","","A666355",-1,"Negative"
"533","","A668289",-1,"Negative"
"534","","A679513",-1,"Negative"
"535","","A711276",-1,"Negative"
"536","","A715898",-1,"Negative"
"537","","A709799",-1,"Negative"
"538","","A679632",-1,"Negative"
"539","","A702983",-1,"Negative"
"540","","A666083",-1,"Negative"
"541","","A711832",-1,"Negative"
"542","","A714879",-1,"Negative"
"543","","A669847",-1,"Negative"
"544","","A680380",-1,"Negative"
"545","","A702207",-1,"Negative"
"546","","A682015",-1,"Negative"
"547","","A700607",-1,"Negative"
"548","","A692964",-1,"Negative"
"549","","A680437",-1,"Negative"
"550","","A669471",-1,"Negative"
"551","","A705982",-1,"Negative"
"552","","A635339",-1,"Negative"
"553","","A714829",-1,"Negative"
"554","","A699314",-1,"Negative"
"555","","A688231",-1,"Negative"
"556","","A687303",-1,"Negative"
"557","","A666576",-1,"Negative"
"558","","A670357",-1,"Negative"
"559","","A702399",-1,"Negative"
"560","","A718647",-1,"Negative"
"561","","A676685",-1,"Negative"
"562","","A690567",-1,"Negative"
"563","","A700895",-1,"Negative"
"564","","A695019",-1,"Negative"
"565","","A705294",-1,"Negative"
"566","","A683352",-1,"Negative"
"567","","A686959",-1,"Negative"
"568","","A682230",-1,"Negative"
"569","","A680705",-1,"Negative"
"570","","A720463",-1,"Negative"
"571","","A682578",-1,"Negative"
"572","","A686743",-1,"Negative"
"573","","A721076",-1,"Negative"
"574","","A706449",-1,"Negative"
"575","","A695082",-1,"Negative"
"576","","A672516",-1,"Negative"
"577","","A665367",-1,"Negative"
"578","","A694848",-1,"Negative"
"579","","A669292",-1,"Negative"
"580","","A703267",-1,"Negative"
"581","","A689729",-1,"Negative"
"582","","A667398",-1,"Negative"
"583","","A665034",-1,"Negative"
"584","","A666962",-1,"Negative"
"585","","A717907",-1,"Negative"
"586","","A704744",-1,"Negative"
"587","","A664945",-1,"Negative"
"588","","A683454",-1,"Negative"
"589","","A711406",-1,"Negative"
"590","","A686404",-1,"Negative"
"591","","A711802",-1,"Negative"
"592","","A688226",-1,"Negative"
"593","","A714568",-1,"Negative"
"594","","A714886",-1,"Negative"
"595","","A714977",-1,"Negative"
"596","","A673944",-1,"Negative"
"597","","A705505",-1,"Negative"
"598","","A720610",-1,"Negative"
"599","","A683654",-1,"Negative"
"600","","A682574",-1,"Negative"
"601","","A681563",-1,"Negative"
"602","","A679384",-1,"Negative"
"603","","A705433",-1,"Negative"
"604","","A707113",-1,"Negative"
"605","","A714721",-1,"Negative"
"606","","A685524",-1,"Negative"
"607","","A696424",-1,"Negative"
"608","","A701434",-1,"Negative"
"609","","A681972",-1,"Negative"
"610","","A702984",-1,"Negative"
"611","","A673752",-1,"Negative"
"612","","A688061",-1,"Negative"
"613","","A665325",-1,"Negative"
"614","","A683637",-1,"Negative"
"615","","A704632",-1,"Negative"
"616","","A715954",-1,"Negative"
"617","","A714760",-1,"Negative"
"618","","A704722",-1,"Negative"
"619","","A689744",-1,"Negative"
"620","","A673635",-1,"Negative"
"621","","A684069",-1,"Negative"
"622","","A679397",-1,"Negative"
"623","","A684451",-1,"Negative"
"624","","A718133",-1,"Negative"
"625","","A680235",-1,"Negative"
"626","","A687492",-1,"Negative"
"627","","A712217",-1,"Negative"
"628","","A701333",-1,"Negative"
"629","","A664179",-1,"Negative"
"630","","A708772",-1,"Negative"
"631","","A708070",-1,"Negative"
"632","","A688889",-1,"Negative"
"633","","A707217",-1,"Negative"
"634","","A681364",-1,"Negative"
"635","","A688594",-1,"Negative"
"636","","A710122",-1,"Negative"
"637","","A693887",-1,"Negative"
"638","","A664363",-1,"Negative"
"639","","A684441",-1,"Negative"
"640","","A708884",-1,"Negative"
"641","","A701353",-1,"Negative"
"642","","A693293",-1,"Negative"
"643","","A678276",-1,"Negative"
"644","","A683437",-1,"Negative"
"645","","A705642",-1,"Negative"
"646","","A703637",-1,"Negative"
"647","","A676019",-1,"Negative"
"648","","A674651",-1,"Negative"
"649","","A667537",-1,"Negative"
"650","","A713897",-1,"Negative"
"651","","A681147",-1,"Negative"
"652","","A685187",-1,"Negative"
"653","","A664464",-1,"Negative"
"654","","A683518",-1,"Negative"
"655","","A685177",-1,"Negative"
"656","","A701346",-1,"Negative"
"657","","A676237",-1,"Negative"
"658","","A715134",-1,"Negative"
"659","","A718683",-1,"Negative"
"660","","A712201",-1,"Negative"
"661","","A720614",-1,"Negative"
"662","","A687057",-1,"Negative"
"663","","A711905",-1,"Negative"
"664","","A665622",-1,"Negative"
"665","","A706078",-1,"Negative"
"666","","A690387",-1,"Negative"
"667","","A665225",-1,"Negative"
"668","","A679165",-1,"Negative"
"669","","A712828",-1,"Negative"
"670","","A692789",-1,"Negative"
"671","","A678963",-1,"Negative"
"672","","A703867",-1,"Negative"
"673","","A682743",-1,"Negative"
"674","","A688140",-1,"Negative"
"675","","A689856",-1,"Negative"
"676","","A709694",-1,"Negative"
"677","","A716906",-1,"Negative"
"678","","A676005",-1,"Negative"
"679","","A676926",-1,"Negative"
"680","","A672557",-1,"Negative"
"681","","A714368",-1,"Negative"
"682","","A713184",-1,"Negative"
"683","","A665673",-1,"Negative"
"684","","A678748",-1,"Negative"
"685","","A679337",-1,"Negative"
"686","","A694872",-1,"Negative"
"687","","A687875",-1,"Negative"
"688","","A711286",-1,"Negative"
"689","","A713836",-1,"Negative"
"690","","A680763",-1,"Negative"
"691","","A704979",-1,"Negative"
"692","","A666423",-1,"Negative"
"693","","A714079",-1,"Negative"
"694","","A669181",-1,"Negative"
"695","","A708092",-1,"Negative"
"696","","A696222",-1,"Negative"
"697","","A668503",-1,"Negative"
"698","","A687608",-1,"Negative"
"699","","A713799",-1,"Negative"
"700","","A705881",-1,"Negative"
"701","","A701235",-1,"Negative"
"702","","A668477",-1,"Negative"
"703","","A679237",-1,"Negative"
"704","","A664347",-1,"Negative"
"705","","A686849",-1,"Negative"
"706","","A688481",-1,"Negative"
"707","","A707798",-1,"Negative"
"708","","A711011",-1,"Negative"
"709","","A709014",-1,"Negative"
"710","","A668006",-1,"Negative"
"711","","A678052",-1,"Negative"
"712","","A682357",-1,"Negative"
"713","","A688881",-1,"Negative"
"714","","A702259",-1,"Negative"
"715","","A713441",-1,"Negative"
"716","","A704432",-1,"Negative"
"717","","A676205",-1,"Negative"
"718","","A678590",-1,"Negative"
"719","","A682106",-1,"Negative"
"720","","A717498",-1,"Negative"
"721","","A698029",-1,"Negative"
"722","","A669767",-1,"Negative"
"723","","A696517",-1,"Negative"
"724","","A669151",-1,"Negative"
"725","","A669173",-1,"Negative"
"726","","A676549",-1,"Negative"
"727","","A690592",-1,"Negative"
"728","","A692064",-1,"Negative"
"729","","A703919",-1,"Negative"
"730","","A683640",-1,"Negative"
"731","","A686104",-1,"Negative"
"732","","A716126",-1,"Negative"
"733","","A705306",-1,"Negative"
"734","","A678021",-1,"Negative"
"735","","A694524",-1,"Negative"
"736","","A681624",-1,"Negative"
"737","","A684106",-1,"Negative"
"738","","A719294",-1,"Negative"
"739","","A690840",-1,"Negative"
"740","","A664930",-1,"Negative"
"741","","A687375",-1,"Negative"
"742","","A679202",-1,"Negative"
"743","","A669235",-1,"Negative"
"744","","A672766",-1,"Negative"
"745","","A688787",-1,"Negative"
"746","","A685580",-1,"Negative"
"747","","A691959",-1,"Negative"
"748","","A665306",-1,"Negative"
"749","","A677783",-1,"Negative"
"750","","A666550",-1,"Negative"
"751","","A671199",-1,"Negative"
"752","","A664071",-1,"Negative"
"753","","A689583",-1,"Negative"
"754","","A715857",-1,"Negative"
"755","","A715736",-1,"Negative"
"756","","A693655",-1,"Negative"
"757","","A687333",-1,"Negative"
"758","","A671067",-1,"Negative"
"759","","A684378",-1,"Negative"
"760","","A693799",-1,"Negative"
"761","","A688270",-1,"Negative"
"762","","A715302",-1,"Negative"
"763","","A677671",-1,"Negative"
"764","","A711919",-1,"Negative"
"765","","A711718",-1,"Negative"
"766","","A694765",-1,"Negative"
"767","","A684585",-1,"Negative"
"768","","A668596",-1,"Negative"
"769","","A689221",-1,"Negative"
"770","","A670349",-1,"Negative"
"771","","A711743",-1,"Negative"
"772","","A688920",-1,"Negative"
"773","","A701927",-1,"Negative"
"774","","A670326",-1,"Negative"
"775","","A710169",-1,"Negative"
"776","","A709165",-1,"Negative"
"777","","A686620",-1,"Negative"
"778","","A686409",-1,"Negative"
"779","","A669208",-1,"Negative"
"780","","A712316",-1,"Negative"
"781","","A683269",-1,"Negative"
"782","","A706522",-1,"Negative"
"783","","A711782",-1,"Negative"
"784","","A700861",-1,"Negative"
"785","","A696444",-1,"Negative"
"786","","A666961",-1,"Negative"
"787","","A713375",-1,"Negative"
"788","","A704759",-1,"Negative"
"789","","A697260",-1,"Negative"
"790","","A663646",-1,"Negative"
"791","","A685318",-1,"Negative"
"792","","A679076",-1,"Negative"
"793","","A679505",-1,"Negative"
"794","","A719913",-1,"Negative"
"795","","A704748",-1,"Negative"
"796","","A683148",-1,"Negative"
"797","","A681774",-1,"Negative"
"798","","A674902",-1,"Negative"
"799","","A673709",-1,"Negative"
"800","","A693204",-1,"Negative"
"801","","A699739",-1,"Negative"
"802","","A670085",-1,"Negative"
"803","","A689857",-1,"Negative"
"804","","A668347",-1,"Negative"
"805","","A698815",-1,"Negative"
"806","","A688454",-1,"Negative"
"807","","A671874",-1,"Negative"
"808","","A701490",-1,"Negative"
"809","","A668564",-1,"Negative"
"810","","A720081",-1,"Negative"
"811","","A701739",-1,"Negative"
"812","","A684278",-1,"Negative"
"813","","A684002",-1,"Negative"
"814","","A694840",-1,"Negative"
"815","","A708823",-1,"Negative"
"816","","A690406",-1,"Negative"
"817","","A711833",-1,"Negative"
"818","","A711539",-1,"Negative"
"819","","A707600",-1,"Negative"
"820","","A701262",-1,"Negative"
